P_MPa,T_K,r_m,phase,rho_kgm3,Cp_JkgK,alpha_pK,g_ms2,phi_frac,sigma_Sm,kTherm_WmK,VP_kms,VS_kms,QS,KS_GPa,GS_GPa,Ppore_MPa,rhoMatrix_kgm3,rhoPore_kgm3,MLayer_kg,VLayer_m3,Htidal_Wm3,eta_Pas
0,110,1560800,1,932.71866,949.39073,3.8612049e-05,1.3148247,0,1e-08,2.2809862,4.1673743,2.1573846,25652.12,10.410319,4.3411603,0,932.71866,0,3.7976946e+18,4.07164e+15,0,3.5563474e+14
0.163125,110.4915,1560667,1,932.71551,952.97984,3.9025731e-05,1.3149448,0,1e-08,5.5388877,4.1667122,2.1566504,24456.26,10.409076,4.3381914,0,932.71551,0,3.7967006e+18,4.070588e+15,0,3.5563474e+14
0.32625,110.98519,1560534,1,932.71209,956.57679,3.9442529e-05,1.3150649,0,1e-08,5.514249,4.166044,2.1559133,23321.101,10.407798,4.3352105,0,932.71209,0,3.7957067e+18,4.0695374e+15,0,3.5563474e+14
0.489375,111.4811,1560401,1,932.7084,960.18164,3.9862435e-05,1.315185,0,1e-08,5.48972,4.1653695,2.1551732,22243.333,10.406483,4.3322174,0,932.7084,0,3.7947131e+18,4.0684882e+15,0,3.5563474e+14
0.6525,111.97921,1560268,1,932.70443,963.79447,4.0285444e-05,1.3153052,0,1e-08,5.4653001,4.1646887,2.1544301,21219.839,10.405132,4.3292122,0,932.70443,0,3.7937197e+18,4.0674404e+15,0,3.5563474e+14
0.815625,112.47955,1560135,1,932.70019,967.41536,4.0711549e-05,1.3154254,0,1e-08,5.4409888,4.1640016,2.1536841,20247.683,10.403744,4.3261947,0,932.70019,0,3.7927265e+18,4.066394e+15,0,3.5563474e+14
0.97875,112.98213,1560002.1,1,932.69566,971.04439,4.1140743e-05,1.3155457,0,1e-08,5.4167857,4.1633081,2.152935,19324.095,10.402319,4.323165,0,932.69566,0,3.7917335e+18,4.0653491e+15,0,3.5563474e+14
1.141875,113.48696,1559869.1,1,932.69085,974.68163,4.1573018e-05,1.3156659,0,1e-08,5.3926902,4.1626082,2.152183,18446.466,10.400856,4.320123,0,932.69085,0,3.7907407e+18,4.0643057e+15,0,3.5563474e+14
1.305,113.99404,1559736.2,1,932.68575,978.32717,4.2008365e-05,1.3157862,0,1e-08,5.3687019,4.1619017,2.1514279,17612.337,10.399356,4.3170686,0,932.68575,0,3.7897481e+18,4.0632637e+15,0,3.5563474e+14
1.468125,114.50338,1559603.3,1,932.68035,981.98108,4.2446775e-05,1.3159066,0,1e-08,5.3448204,4.1611887,2.1506698,16819.389,10.397817,4.3140018,0,932.68035,0,3.7887557e+18,4.0622232e+15,0,3.5563474e+14
