P_MPa,T_K,r_m,phase,rho_kgm3,Cp_JkgK,alpha_pK,g_ms2,phi_frac,sigma_Sm,kTherm_WmK,VP_kms,VS_kms,QS,KS_GPa,GS_GPa,Ppore_MPa,rhoMatrix_kgm3,rhoPore_kgm3,MLayer_kg,VLayer_m3,Htidal_Wm3,eta_Pas
0,110,1560800,1,932.71866,949.39073,3.8612049e-05,1.3148247,0,1e-08,5.5636364,4.1673743,2.1573846,25652.12,10.410319,4.3411603,0,932.71866,0,5.0547199e+18,5.4193404e+15,0,1e+19
0.217125,110.79648,1560623,1,932.70922,955.20763,3.9285725e-05,1.3149845,0,1e-08,5.5236412,4.1662647,2.1562047,23747.47,10.407918,4.3363693,0,932.70922,0,5.0529589e+18,5.4175071e+15,0,1e+19
0.43425,111.59873,1560445.9,1,932.69907,961.04528,3.9967636e-05,1.3151444,0,1e-08,5.4839336,4.1651389,2.1550171,21996.435,10.405424,4.3315465,0,932.69907,0,5.0511983e+18,5.4156785e+15,0,1e+19
0.651375,112.40678,1560268.9,1,932.68819,966.904,4.0657759e-05,1.3153044,0,1e-08,5.4445114,4.1639966,2.1538217,20385.735,10.402835,4.3266919,0,932.68819,0,5.0494383e+18,5.4138546e+15,0,1e+19
0.8685,113.22069,1560091.9,1,932.67658,972.78412,4.1356066e-05,1.3154644,0,1e-08,5.4053726,4.1628378,2.1526184,18903.31,10.40015,4.3218051,0,932.67658,0,5.0476787e+18,5.4120355e+15,0,1e+19
1.085625,114.04049,1559915,1,932.6642,978.68596,4.2062521e-05,1.3156245,0,1e-08,5.3665152,4.1616621,2.1514073,17538.201,10.397366,4.3168861,0,932.6642,0,5.0459196e+18,5.4102211e+15,0,1e+19
1.30275,114.86622,1559738,1,932.65106,984.60987,4.2777089e-05,1.3157846,0,1e-08,5.3279371,4.1604694,2.1501883,16280.444,10.394483,4.3119347,0,932.65106,0,5.044161e+18,5.4084118e+15,0,1e+19
1.519875,115.69794,1559561.1,1,932.63713,990.55621,4.3499728e-05,1.3159448,0,1e-08,5.2896363,4.1592593,2.1489613,15120.975,10.391498,4.3069505,0,932.63713,0,5.0424028e+18,5.4066074e+15,0,1e+19
1.737,116.53567,1559384.2,1,932.6224,996.52541,4.4230393e-05,1.316105,0,1e-08,5.2516109,4.1580317,2.1477262,14051.542,10.38841,4.3019335,0,932.6224,0,5.0406451e+18,5.4048081e+15,0,1e+19
1.954125,117.37947,1559207.3,1,932.60685,1002.5179,4.4969033e-05,1.3162653,0,1e-08,5.2138588,4.1567864,2.1464832,13064.632,10.385217,4.2968835,0,932.60685,0,5.0388879e+18,5.403014e+15,0,1e+19
2.17125,118.22939,1559030.4,1,932.59046,1008.5342,4.5715595e-05,1.3164256,0,1e-08,5.1763781,4.155523,2.145232,12153.398,10.381918,4.2918002,0,932.59046,0,5.0371311e+18,5.4012252e+15,0,1e+19
2.388375,119.08545,1558853.5,1,932.57322,1014.5748,4.6470018e-05,1.316586,0,1e-08,5.1391668,4.1542413,2.1439727,11311.599,10.37851,4.2866835,0,932.57322,0,5.0353748e+18,5.3994418e+15,0,1e+19
2.6055,119.94772,1558676.7,1,932.55512,1020.6403,4.7232239e-05,1.3167465,0,1e-08,5.102223,4.1529412,2.1427051,10533.54,10.374993,4.2815332,0,932.55512,0,5.033619e+18,5.3976637e+15,0,1e+19
2.822625,120.81622,1558499.9,1,932.53613,1026.7312,4.8002189e-05,1.316907,0,1e-08,5.0655449,4.1516223,2.1414293,9814.0261,10.371364,4.2763491,0,932.53613,0,5.0318636e+18,5.3958913e+15,0,1e+19
3.03975,121.69102,1558323.1,1,932.51624,1032.848,4.8779795e-05,1.3170676,0,1e-08,5.0291303,4.1502844,2.1401452,9148.3116,10.367621,4.271131,0,932.51624,0,5.0301086e+18,5.3941244e+15,0,1e+19
3.256875,122.57215,1558146.3,1,932.49543,1038.9913,4.9564982e-05,1.3172282,0,1e-08,4.9929776,4.1489273,2.1388528,8532.0617,10.363763,4.2658787,0,932.49543,0,5.0283542e+18,5.3923633e+15,0,1e+19
3.474,123.45966,1557969.5,1,932.47369,1045.1617,5.0357667e-05,1.3173889,0,1e-08,4.9570847,4.1475507,2.1375519,7961.3139,10.359788,4.2605919,0,932.47369,0,5.0266001e+18,5.390608e+15,0,1e+19
3.691125,124.3536,1557792.8,1,932.45099,1051.3599,5.1157767e-05,1.3175496,0,1e-08,4.9214499,4.1461544,2.1362427,7432.4444,10.355694,4.2552706,0,932.45099,0,5.0248466e+18,5.3888586e+15,0,1e+19
3.90825,125.25401,1557616,1,932.42732,1057.5865,5.1965193e-05,1.3177104,0,1e-08,4.8860712,4.1447381,2.1349249,6942.1372,10.35148,4.2499145,0,932.42732,0,5.0230934e+18,5.3871152e+15,0,1e+19
4.125375,126.16094,1557439.3,1,932.40267,1063.8423,5.2779851e-05,1.3178713,0,1e-08,4.8509469,4.1433015,2.1335985,6487.3567,10.347143,4.2445233,0,932.40267,0,5.0213407e+18,5.3853779e+15,0,1e+19
4.3425,127.07443,1557262.6,1,932.37701,1070.128,5.3601645e-05,1.3180322,0,1e-08,4.816075,4.1418445,2.1322636,6065.3224,10.342682,4.2390969,0,932.37701,0,5.0195885e+18,5.3836468e+15,0,1e+19
4.559625,127.99454,1557085.9,1,932.35032,1076.4446,5.4430472e-05,1.3181932,0,1e-08,4.7814538,4.1403667,2.13092,5673.4864,10.338095,4.2336351,0,932.35032,0,5.0178367e+18,5.381922e+15,0,1e+19
4.77675,128.92132,1556909.3,1,932.32259,1082.7925,5.5266227e-05,1.3183542,0,1e-08,4.7470816,4.1388679,2.1295678,5309.5124,10.333381,4.2281378,0,932.32259,0,5.0160853e+18,5.3802036e+15,0,1e+19
4.993875,129.8548,1556732.6,1,932.2938,1089.1727,5.6108803e-05,1.3185153,0,1e-08,4.7129564,4.1373478,2.1282067,4971.2575,10.328536,4.2226045,0,932.2938,0,5.0143344e+18,5.3784916e+15,0,1e+19
5.211,130.79504,1556556,1,932.26393,1095.5858,5.6958085e-05,1.3186765,0,1e-08,4.6790765,4.1358061,2.1268368,4656.7551,10.323561,4.2170352,0,932.26393,0,5.0125839e+18,5.3767862e+15,0,1e+19
