P_MPa,T_K,r_m,phase,rho_kgm3,Cp_JkgK,alpha_pK,g_ms2,phi_frac,sigma_Sm,kTherm_WmK,VP_kms,VS_kms,QS,KS_GPa,GS_GPa,Ppore_MPa,rhoMatrix_kgm3,rhoPore_kgm3,MLayer_kg,VLayer_m3,Htidal_Wm3,eta_Pas
0,110,1560800,1,932.71866,949.39073,3.8612049e-05,1.3148247,0,1e-08,5.5636364,4.1673743,2.1573846,25652.12,10.410319,4.3411603,0,932.71866,0,5.6191943e+18,6.0245329e+15,0,1e+19
0.241375,110.8619,1560603.2,1,932.709,955.68381,3.9340839e-05,1.3150024,0,1e-08,5.5203816,4.166178,2.1561065,23598.622,10.407769,4.3359732,0,932.709,0,5.617018e+18,6.022262e+15,0,1e+19
0.48275,111.73055,1560406.4,1,932.69851,962.00118,4.0079252e-05,1.3151802,0,1e-08,5.4774632,4.1649628,2.1548193,21723.597,10.40511,4.3307489,0,932.69851,0,5.6148423e+18,6.0199971e+15,0,1e+19
0.724125,112.60601,1560209.6,1,932.68716,968.34325,4.0827257e-05,1.315358,0,1e-08,5.4348785,4.1637283,2.153523,20010.427,10.402339,4.3254873,0,932.68716,0,5.6126674e+18,6.0177384e+15,0,1e+19
0.9655,113.48833,1560012.9,1,932.67494,974.71045,4.1584816e-05,1.3155359,0,1e-08,5.3926248,4.1624743,2.1522176,18444.137,10.399455,4.3201881,0,932.67494,0,5.610493e+18,6.015486e+15,0,1e+19
1.206875,114.37757,1559816.1,1,932.66184,981.10318,4.2351885e-05,1.3157139,0,1e-08,5.3506996,4.1612005,2.1509029,17011.223,10.396455,4.314851,0,932.66184,0,5.6083194e+18,6.0132399e+15,0,1e+19
1.44825,115.27377,1559619.4,1,932.64782,987.52189,4.3128415e-05,1.3158919,0,1e-08,5.3091004,4.1599065,2.1495789,15699.499,10.393337,4.3094758,0,932.64782,0,5.6061464e+18,6.0110003e+15,0,1e+19
1.689625,116.17699,1559422.8,1,932.63288,993.96707,4.391435e-05,1.3160701,0,1e-08,5.2678246,4.1585922,2.1482455,14497.963,10.3901,4.3040623,0,932.63288,0,5.603974e+18,6.0087674e+15,0,1e+19
1.931,117.08729,1559226.1,1,932.61698,1000.4393,4.4709631e-05,1.3162482,0,1e-08,5.2268696,4.1572571,2.1469028,13396.675,10.38674,4.2986102,0,932.61698,0,5.6018023e+18,6.0065411e+15,0,1e+19
2.172375,118.00472,1559029.5,1,932.60012,1006.9391,4.551419e-05,1.3164265,0,1e-08,5.1862331,4.155901,2.1455505,12386.648,10.383256,4.2931193,0,932.60012,0,5.5996312e+18,6.0043218e+15,0,1e+19
2.41375,118.92934,1558832.9,1,932.58226,1013.4672,4.6327953e-05,1.3166048,0,1e-08,5.1459125,4.1545237,2.1441888,11459.752,10.379647,4.2875893,0,932.58226,0,5.5974607e+18,6.0021094e+15,0,1e+19
2.655125,119.86121,1558636.3,1,932.5634,1020.0243,4.7150841e-05,1.3167832,0,1e-08,5.1059054,4.1531247,2.1428174,10608.629,10.375908,4.2820201,0,932.5634,0,5.5952909e+18,5.9999041e+15,0,1e+19
2.8965,120.80038,1558439.7,1,932.5435,1026.611,4.7982768e-05,1.3169616,0,1e-08,5.0662094,4.1517038,2.1414364,9826.6142,10.372039,4.2764112,0,932.5435,0,5.5931217e+18,5.997706e+15,0,1e+19
