P_MPa,T_K,r_m,phase,rho_kgm3,Cp_JkgK,alpha_pK,g_ms2,phi_frac,sigma_Sm,kTherm_WmK,VP_kms,VS_kms,QS,KS_GPa,GS_GPa,Ppore_MPa,rhoMatrix_kgm3,rhoPore_kgm3,MLayer_kg,VLayer_m3,Htidal_Wm3,eta_Pas
0,110,1560800,1,932.71866,949.39073,3.8612049e-05,1.3148247,0,1e-08,5.5636364,4.1673743,2.1573846,25652.12,10.410319,4.3411603,0,932.71866,0,4.3019262e+18,4.6122441e+15,0,1e+19
0.1847857,110.70178,1560649.3,1,932.70978,954.51782,3.9205826e-05,1.3149607,0,1e-08,5.5283663,4.1663921,2.1563463,23964.91,10.408155,4.3369415,0,932.70978,0,4.3006506e+18,4.6109204e+15,0,1e+19
0.36957139,111.40804,1560498.7,1,932.70036,959.66102,3.9806015e-05,1.3150968,0,1e-08,5.4933199,4.1653973,2.155302,22398.331,10.405919,4.332698,0,932.70036,0,4.2993754e+18,4.6095998e+15,0,1e+19
0.55435709,112.1188,1560348,1,932.69036,964.82054,4.0412601e-05,1.3152329,0,1e-08,5.4584956,4.1643898,2.1542517,20943.132,10.40361,4.3284299,0,932.69036,0,4.2981004e+18,4.6082822e+15,0,1e+19
0.73914279,112.8341,1560197.4,1,932.6798,969.99662,4.1025565e-05,1.3153691,0,1e-08,5.4238921,4.1633695,2.1531953,19590.817,10.401226,4.3241368,0,932.6798,0,4.2968258e+18,4.6069678e+15,0,1e+19
0.92392848,113.55397,1560046.8,1,932.66866,975.18947,4.1644885e-05,1.3155053,0,1e-08,5.389508,4.1623363,2.1521328,18333.578,10.398766,4.3198187,0,932.66866,0,4.2955514e+18,4.6056564e+15,0,1e+19
1.1087142,114.27842,1559896.1,1,932.65692,980.39932,4.2270537e-05,1.3156415,0,1e-08,5.3553418,4.1612898,2.1510642,17164.239,10.39623,4.3154755,0,932.65692,0,4.2942773e+18,4.6043483e+15,0,1e+19
1.2934999,115.0075,1559745.5,1,932.64458,985.6264,4.2902496e-05,1.3157778,0,1e-08,5.3213922,4.1602301,2.1499894,16076.196,10.393617,4.311107,0,932.64458,0,4.2930035e+18,4.6030435e+15,0,1e+19
1.4782856,115.74122,1559595,1,932.63163,990.87099,4.3540733e-05,1.3159141,0,1e-08,5.2876579,4.1591568,2.1489084,15063.377,10.390924,4.3067131,0,932.63163,0,4.29173e+18,4.6017419e+15,0,1e+19
1.6630713,116.47963,1559444.4,1,932.61805,996.13337,4.4185215e-05,1.3160505,0,1e-08,5.2541374,4.15807,2.1478212,14120.19,10.388151,4.3022937,0,932.61805,0,4.2904568e+18,4.6004437e+15,0,1e+19
1.847857,117.22275,1559293.8,1,932.60384,1001.4138,4.4835909e-05,1.3161869,0,1e-08,5.2208294,4.1569694,2.1467277,13241.488,10.385297,4.2978486,0,932.60384,0,4.2891839e+18,4.5991489e+15,0,1e+19
2.0326427,117.97062,1559143.3,1,932.58898,1006.7127,4.5492778e-05,1.3163233,0,1e-08,5.1877325,4.1558548,2.1456279,12422.526,10.382361,4.2933778,0,932.58898,0,4.2879113e+18,4.5978575e+15,0,1e+19
2.2174284,118.72325,1558992.8,1,932.57346,1012.0304,4.6155783e-05,1.3164598,0,1e-08,5.1548455,4.1547261,2.1445218,11658.933,10.379341,4.288881,0,932.57346,0,4.2866389e+18,4.5965697e+15,0,1e+19
2.4022141,119.48068,1558842.3,1,932.55728,1017.3672,4.6824881e-05,1.3165963,0,1e-08,5.1221669,4.1535831,2.1434094,10946.678,10.376236,4.2843581,0,932.55728,0,4.2853668e+18,4.5952854e+15,0,1e+19
2.5869997,120.24295,1558691.8,1,932.54041,1022.7236,4.7500026e-05,1.3167328,0,1e-08,5.0896956,4.1524257,2.1422905,10282.044,10.373046,4.2798091,0,932.54041,0,4.284095e+18,4.5940047e+15,0,1e+19
2.7717854,121.01008,1558541.3,1,932.52285,1028.0999,4.8181171e-05,1.3168694,0,1e-08,5.05743,4.1512537,2.1411653,9661.5989,10.369768,4.2752338,0,932.52285,0,4.2828235e+18,4.5927277e+15,0,1e+19
2.9565711,121.7821,1558390.8,1,932.50459,1033.4964,4.8868265e-05,1.3170061,0,1e-08,5.025369,4.1500669,2.1400336,9082.176,10.366402,4.2706319,0,932.50459,0,4.2815523e+18,4.5914544e+15,0,1e+19
3.1413568,122.55905,1558240.3,1,932.48561,1038.9135,4.9561255e-05,1.3171428,0,1e-08,4.9935113,4.1488651,2.1388954,8540.8499,10.362946,4.2660035,0,932.48561,0,4.2802813e+18,4.5901849e+15,0,1e+19
3.3261425,123.34096,1558089.9,1,932.4659,1044.3518,5.0260086e-05,1.3172795,0,1e-08,4.9618555,4.1476482,2.1377506,8034.9182,10.3594,4.2613484,0,932.4659,0,4.2790106e+18,4.5889191e+15,0,1e+19
3.5109282,124.12785,1557939.4,1,932.44546,1049.8115,5.0964701e-05,1.3174163,0,1e-08,4.9304004,4.1464161,2.1365993,7561.8828,10.355762,4.2566664,0,932.44546,0,4.2777402e+18,4.5876573e+15,0,1e+19
3.6957139,124.91976,1557789,1,932.42426,1055.2932,5.1675038e-05,1.3175531,0,1e-08,4.8991447,4.1451685,2.1354415,7119.4342,10.35203,4.2519575,0,932.42426,0,4.2764701e+18,4.5863994e+15,0,1e+19
3.8804996,125.71673,1557638.6,1,932.4023,1060.7974,5.2391036e-05,1.3176899,0,1e-08,4.8680871,4.1439052,2.134277,6705.4359,10.348204,4.2472213,0,932.4023,0,4.2752002e+18,4.5851455e+15,0,1e+19
4.0652853,126.51878,1557488.2,1,932.37957,1066.3245,5.3112629e-05,1.3178268,0,1e-08,4.8372264,4.1426261,2.1331058,6317.9107,10.344283,4.2424579,0,932.37957,0,4.2739306e+18,4.5838956e+15,0,1e+19
4.250071,127.32595,1557337.8,1,932.35604,1071.8753,5.3839749e-05,1.3179638,0,1e-08,4.8065614,4.1413311,2.1319279,5955.0286,10.340264,4.2376671,0,932.35604,0,4.2726613e+18,4.5826499e+15,0,1e+19
4.4348567,128.13827,1557187.4,1,932.33172,1077.45,5.4572326e-05,1.3181008,0,1e-08,4.7760907,4.1400199,2.1307433,5615.0946,10.336148,4.2328486,0,932.33172,0,4.2713922e+18,4.5814083e+15,0,1e+19
4.6196424,128.95577,1557037.1,1,932.30658,1083.0494,5.5310286e-05,1.3182378,0,1e-08,4.7458133,4.1386924,2.129552,5296.5384,10.331932,4.2280026,0,932.30658,0,4.2701234e+18,4.5801709e+15,0,1e+19
4.8044281,129.77849,1556886.7,1,932.28062,1088.6737,5.6053557e-05,1.3183748,0,1e-08,4.7157277,4.1373483,2.1283538,4997.9048,10.327616,4.2231286,0,932.28062,0,4.2688549e+18,4.5789378e+15,0,1e+19
4.9892138,130.60645,1556736.4,1,932.25382,1094.3236,5.680206e-05,1.318512,0,1e-08,4.6858329,4.1359876,2.1271488,4717.8443,10.323198,4.2182267,0,932.25382,0,4.2675867e+18,4.577709e+15,0,1e+19
