exc name,period(hr),B0x(nT),B0y(nT),B0z(nT),Bex_Re(nT),Bex_Im(nT),Bey_Re(nT),Bey_Im(nT),Bez_Re(nT),Bez_Im(nT)
synodic 3rd,3.7443382655783,2.37259516444462,-0.067763489798992,-408.976670948904,0.60142164455155,1.04942019803156,0.664784870878065,-0.33463328111704,-0.0271117550799535,0.0182138262494681
synodic 2nd,5.61650739836745,2.37259516444462,-0.067763489798992,-408.976670948904,16.8101001632006,4.7350134685977,2.8833577730647,-11.2950259638719,1.10946272940306,1.32635552406668
synodic+TA beat,9.91672064940882,2.37259516444462,-0.067763489798992,-408.976670948904,0.176619125978292,-0.0453411724736152,-0.100547681195188,-1.46138288682081,-0.063130245251631,0.137319549581368
synodic,11.2330147967349,2.37259516444462,-0.067763489798992,-408.976670948904,128.466302323619,-170.084146795136,-65.2548178569914,-38.3004900844859,-4.80443824676024,-15.1690593858918
synodic-TA beat,12.9522262370267,2.37259516444462,-0.067763489798992,-408.976670948904,1.11728303673096,4.85004409206093,3.59048509969807,-0.904449849797876,0.401876940606463,0.177483597136755
TA+year beat,84.5586706015339,2.37259516444462,-0.067763489798992,-408.976670948904,0.32381838164009,-0.014625572290174,-0.00431474328715356,0.106075189049068,1.4298220425277,-2.20145603853532
true anomaly,84.62749,2.37259516444462,-0.067763489798992,-408.976670948904,0.0258627475332499,-0.483029076932749,0.176027051639068,0.0147469170847798,7.8543588238738,8.87698719681359
TA-year beat,84.6964215091999,2.37259516444462,-0.067763489798992,-408.976670948904,-0.24861627069399,-0.11217351977386,0.0454591373168157,-0.0849219466308608,1.51367077400535,-0.742280757747595
adjusted orbital,85.2132089394088,2.37259516444462,-0.067763489798992,-408.976670948904,-7.21158212931032,7.51709570390079,-2.41822086525367,-2.65830886500489,0.0186423848638764,0.416737237350246
adjusted orbital-year beat,85.2830983142111,2.37259516444462,-0.067763489798992,-408.976670948904,1.01515622559826,1.48970028883822,-0.540700855181671,0.302942160162841,0.0350942911615694,-0.139238353494609
