exc name,period(hr),B0x(nT),B0y(nT),B0z(nT),Bex_Re(nT),Bex_Im(nT),Bey_Re(nT),Bey_Im(nT),Bez_Re(nT),Bez_Im(nT)
synodic 4th,3.23815240964633,16.1068812457847,-0.112759292316654,-1828.72973073389,1.53529162496803,0.394248697868621,0.318069425901691,-1.22504539951061,-0.0110513508200979,0.0905253687534015
synodic 3rd,4.31753654619511,16.1068812457847,-0.112759292316654,-1828.72973073389,-11.7400482571143,-3.53903265983243,-2.66955019219684,8.67657546708277,0.111205854137902,-0.503398700003078
synodic 2nd,6.47630481929267,16.1068812457847,-0.112759292316654,-1828.72973073389,109.218999460276,-23.2846366780066,-16.4411316766042,-72.7559199398605,6.34745720023084,-10.0052513907685
synodic 2nd-TA beat,7.64661729257826,16.1068812457847,-0.112759292316654,-1828.72973073389,-0.924779326812168,1.77908912654897,1.40634729085329,0.713915205531089,0.0803911480653099,0.196539441784406
adjusted synodic 2nd-TA beat,7.64677449282208,16.1068812457847,-0.112759292316654,-1828.72973073389,-2.30186149364502,3.20912145748968,2.54130473213765,1.78743404927592,0.10121375279348,0.405768075498393
synodic+TA beat,9.91701677748206,16.1068812457847,-0.112759292316654,-1828.72973073389,0.0745945563520343,-0.478914860986366,-2.77441333397007,-9.27230401013443,-0.55450802365085,1.78626051044292
adjusted synodic+TA beat,9.91714898113873,16.1068812457847,-0.112759292316654,-1828.72973073389,0.389939169902988,0.0877670794991432,7.7151927477352,-1.71802051002213,-1.42785773813074,-0.562212218765813
synodic,12.9526096385853,16.1068812457847,-0.112759292316654,-1828.72973073389,-288.760007497905,689.549052457132,310.857456062182,116.120532671228,55.2966617362931,86.1753627327258
synodic-TA beat,18.6663761249026,16.1068812457847,-0.112759292316654,-1828.72973073389,-2.33752381086538,-4.16313669249985,-3.06246014319754,1.78879714033883,-0.823006977768159,0.150285023255606
adjusted synodic-TA beat,18.6668445137058,16.1068812457847,-0.112759292316654,-1828.72973073389,7.26661100998672,-3.36936039376769,-2.59225581007718,-5.36056636630656,-0.0540500305708065,-1.32409166902124
adjusted synodic-orbital mid 2 beat,18.6686778041037,16.1068812457847,-0.112759292316654,-1828.72973073389,5.63714514343064,0.029585871168706,-0.0379624028467731,-4.20290136620667,0.491162519641023,-0.609070174689961
orbital mid 2,42.3056269428561,16.1068812457847,-0.112759292316654,-1828.72973073389,0.238973815273519,0.179777161728929,-0.0884451530064425,0.129351243464606,-21.2467835865518,-10.7273490013607
orbital mid 1,42.4313819502082,16.1068812457847,-0.112759292316654,-1828.72973073389,-2.41314431037093,1.00023494261946,-0.635915664336567,-1.19094072516748,-0.0413953092051604,-3.68173316551701e-05
