Radius (m),Conductivity (S/m),Bdy deviation (m)
650000,1000000,13000
1438640,0.01,28772.8
1439210,0.440882,28784.2
1439790,0.440522,28795.8
1440370,0.440161,28807.4
1440950,0.439801,28819
1441520,0.43944,28830.4
1442100,0.439079,28842
1442680,0.438717,28853.6
1443260,0.438356,28865.2
1443840,0.437994,28876.8
1444420,0.437632,28888.4
1445000,0.437269,28900
1445580,0.436907,28911.6
1446160,0.436544,28923.2
1446740,0.436181,28934.8
1447320,0.435818,28946.4
1447900,0.435455,28958
1448490,0.435091,28969.8
1449070,0.434727,28981.4
1449650,0.434363,28993
1450240,0.433999,29004.8
1450820,0.433634,29016.4
1451410,0.433269,29028.2
1451990,0.432904,29039.8
1452580,0.432539,29051.6
1453160,0.432173,29063.2
1453750,0.431807,29075
1454340,0.431441,29086.8
1454930,0.431075,29098.6
1455510,0.430708,29110.2
1456100,0.430342,29122
1456690,0.429975,29133.8
1457280,0.429607,29145.6
1457870,0.42924,29157.4
1458460,0.428872,29169.2
1459050,0.428504,29181
1459640,0.428136,29192.8
1460230,0.427767,29204.6
1460820,0.427398,29216.4
1461420,0.427029,29228.4
1462010,0.42666,29240.2
1462600,0.426291,29252
1463190,0.425921,29263.8
1463790,0.425551,29275.8
1464380,0.42518,29287.6
1464980,0.42481,29299.6
1465570,0.424439,29311.4
1466170,0.424068,29323.4
1466760,0.423697,29335.2
1467360,0.423325,29347.2
1467960,0.422954,29359.2
1468560,0.422582,29371.2
1469150,0.422209,29383
1469750,0.421837,29395
1470350,0.421464,29407
1470950,0.421091,29419
1471550,0.420718,29431
1472150,0.420344,29443
1472750,0.419971,29455
1473350,0.419597,29467
1473950,0.419223,29479
1474560,0.418848,29491.2
1475160,0.418473,29503.2
1475760,0.418098,29515.2
1476360,0.417723,29527.2
1476970,0.417348,29539.4
1477570,0.416972,29551.4
1478180,0.416596,29563.6
1478780,0.41622,29575.6
1479390,0.415844,29587.8
1479990,0.415467,29599.8
1480600,0.41509,29612
1481210,0.414713,29624.2
1481810,0.414336,29636.2
1482420,0.413959,29648.4
1483030,0.413581,29660.6
1483640,0.413203,29672.8
1484250,0.412825,29685
1484860,0.412446,29697.2
1485470,0.412068,29709.4
1486080,0.411689,29721.6
1486690,0.41131,29733.8
1487300,0.41093,29746
1487920,0.410551,29758.4
1488530,0.410171,29770.6
1489140,0.409791,29782.8
1489750,0.409411,29795
1490370,0.409031,29807.4
1490980,0.40865,29819.6
1491600,0.408269,29832
1492210,0.407888,29844.2
1492830,0.407507,29856.6
1493450,0.407126,29869
1494060,0.406744,29881.2
1494680,0.406362,29893.6
1495300,0.40598,29906
1495920,0.405598,29918.4
1496540,0.405215,29930.8
1497150,0.404832,29943
1497770,0.404449,29955.4
1498390,0.404066,29967.8
1499020,0.403683,29980.4
1499640,0.4033,29992.8
1500260,0.402916,30005.2
1500880,0.402532,30017.6
1501500,0.402148,30030
1502130,0.401763,30042.6
1502750,0.401379,30055
1503380,0.400994,30067.6
1504000,0.400609,30080
1504630,0.400224,30092.6
1505250,0.399839,30105
1505880,0.399453,30117.6
1506500,0.399068,30130
1507130,0.398682,30142.6
1507760,0.398296,30155.2
1508390,0.39791,30167.8
1509020,0.397523,30180.4
1509640,0.397137,30192.8
1510270,0.39675,30205.4
1510900,0.396363,30218
1511540,0.395976,30230.8
1512170,0.395588,30243.4
1512800,0.395201,30256
1513430,0.394813,30268.6
1514060,0.394425,30281.2
1514700,0.394037,30294
1515330,0.393649,30306.6
1515970,0.39326,30319.4
1516600,0.392872,30332
1517240,0.392483,30344.8
1517870,0.392094,30357.4
1518510,0.391705,30370.2
1519140,0.391315,30382.8
1519780,0.390926,30395.6
1520420,0.390536,30408.4
1521060,0.390146,30421.2
1521700,0.389756,30434
1522340,0.389366,30446.8
1522980,0.388976,30459.6
1523620,0.388585,30472.4
1524260,0.388195,30485.2
1524900,0.387804,30498
1525540,0.387413,30510.8
1526190,0.387022,30523.8
1526830,0.38663,30536.6
1527470,0.386239,30549.4
1528120,0.385847,30562.4
1528760,0.385455,30575.2
1529410,0.385063,30588.2
1530050,0.384671,30601
1561000,1e-12,1561
