|6.6.6
CM_hydrous_differentiated_Ganymede_Core80Fe20S_1.tab                                                
           2
T(K)    
   273.150000000000     
   5.53477564102564     
         313
P(bar)  
   1.00000000000000     
   277.240384615385     
         313
           9
T(K)           P(bar)         rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K      Ks,bar         Gs,bar        
  273.150        1.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  278.685        1.00000        2955.75        5.98053        2.87295       0.241330E+007  0.303932E-004   731890.        243963.     
  284.220        1.00000        2956.37        0.00000        0.00000       0.244873E+007  0.307660E-004            NaN            NaN
  289.754        1.00000        2956.98        0.00000        0.00000       0.248284E+007  0.311273E-004            NaN            NaN
  295.289        1.00000        2957.58        0.00000        0.00000       0.251570E+007  0.314776E-004            NaN            NaN
  300.824        1.00000        3002.74        0.00000        0.00000       0.255710E+007  0.290433E-004            NaN            NaN
  306.359        1.00000        3002.40        0.00000        0.00000       0.258790E+007  0.293165E-004            NaN            NaN
  311.893        1.00000        3002.14        0.00000        0.00000       0.261767E+007  0.295838E-004            NaN            NaN
  317.428        1.00000        3001.87        0.00000        0.00000       0.264640E+007  0.298419E-004            NaN            NaN
  322.963        1.00000        3001.37        0.00000        0.00000       0.267405E+007  0.300837E-004            NaN            NaN
  328.498        1.00000        3000.87        0.00000        0.00000       0.270078E+007  0.303171E-004            NaN            NaN
  334.033        1.00000        3000.37        0.00000        0.00000       0.272663E+007  0.305427E-004            NaN            NaN
  339.567        1.00000        3004.64        5.74393        2.75930       0.274824E+007  0.306056E-004   686295.        228765.     
  345.102        1.00000        3003.84        5.74278        2.75874       0.277266E+007  0.308144E-004   685835.        228612.     
  350.637        1.00000        3003.03        5.74160        2.75818       0.279635E+007  0.310166E-004   685369.        228456.     
  356.172        1.00000        3002.22        5.74040        2.75760       0.281933E+007  0.312126E-004   684898.        228299.     
  361.706        1.00000        3001.40        5.73919        2.75702       0.284163E+007  0.314028E-004   684422.        228141.     
  367.241        1.00000        3000.80        5.73765        2.75628       0.286324E+007  0.315933E-004   683920.        227973.     
  372.776        1.00000        2999.76        5.73669        2.75582       0.288435E+007  0.317667E-004   683454.        227818.     
  378.311        1.00000        3039.60        5.69447        2.73554       0.291853E+007  0.317986E-004   682375.        227458.     
  383.846        1.00000        3047.50        5.68513        2.73105       0.294187E+007  0.317879E-004   681905.        227302.     
  389.380        1.00000        3054.68        5.67625        2.72678       0.296474E+007  0.317692E-004   681378.        227126.     
  394.915        1.00000        3061.75        5.66705        2.72236       0.298746E+007  0.317246E-004   680742.        226914.     
  400.450        1.00000        3069.58        5.65698        2.71753       0.301038E+007  0.316421E-004   680060.        226687.     
  405.985        1.00000        3077.56        5.64638        2.71243       0.303352E+007  0.315214E-004   679275.        226425.     
  411.519        1.00000        3075.45        5.64739        2.71292       0.306078E+007  0.313383E-004   679054.        226351.     
  417.054        1.00000        3095.39        5.62288        2.70115       0.308131E+007  0.311400E-004   677537.        225846.     
  422.589        1.00000        3105.46        5.61027        2.69509       0.310631E+007  0.308744E-004   676694.        225565.     
  428.124        1.00000        3115.07        5.59850        2.68943       0.313139E+007  0.305985E-004   675942.        225314.     
  433.658        1.00000        3123.24        5.58907        2.68490       0.315591E+007  0.303549E-004   675436.        225145.     
  439.193        1.00000        3127.10        5.58533        2.68310       0.317862E+007  0.302286E-004   675363.        225121.     
  444.728        1.00000        3126.48        5.58681        2.68381       0.319866E+007  0.302446E-004   675588.        225196.     
  450.263        1.00000        3122.77        5.59163        2.68613       0.321661E+007  0.303603E-004   675952.        225317.     
  455.798        1.00000        3122.24        5.59006        2.68538       0.323164E+007  0.304719E-004   675459.        225153.     
  461.332        1.00000        3121.72        5.58848        2.68462       0.324633E+007  0.305811E-004   674963.        224988.     
  466.867        1.00000        3121.19        5.58690        2.68386       0.326070E+007  0.306880E-004   674466.        224822.     
  472.402        1.00000        3099.04        5.54432        2.66341       0.328064E+007  0.324079E-004   659513.        219838.     
  477.937        1.00000        3098.48        5.54255        2.66255       0.329478E+007  0.325376E-004   658973.        219658.     
  483.471        1.00000        3097.93        5.54079        2.66171       0.330868E+007  0.326658E-004   658436.        219479.     
  489.006        1.00000        3097.37        5.53900        2.66085       0.332234E+007  0.327944E-004   657894.        219298.     
  494.541        1.00000        3096.82        5.53722        2.65999       0.333578E+007  0.329231E-004   657351.        219117.     
  500.076        1.00000        3096.26        5.53542        2.65913       0.334903E+007  0.330524E-004   656806.        218935.     
  505.611        1.00000        3095.69        5.53363        2.65827       0.336210E+007  0.331819E-004   656261.        218754.     
  511.145        1.00000        3346.89        5.67478        2.72608       0.338366E+007  0.315929E-004   746172.        248724.     
  516.680        1.00000        3346.30        5.67356        2.72549       0.339603E+007  0.317215E-004   745721.        248574.     
  522.215        1.00000        3347.73        5.67999        2.72858       0.340695E+007  0.318804E-004   747730.        249243.     
  527.750        1.00000        3349.58        5.68715        2.73202       0.341821E+007  0.320503E-004   750030.        250010.     
  533.284        1.00000        3351.89        5.69594        2.73624       0.342920E+007  0.322332E-004   752870.        250957.     
  538.819        1.00000        3354.91        5.70727        2.74168       0.343985E+007  0.324345E-004   756549.        252183.     
  544.354        1.00000        3359.00        5.72239        2.74895       0.345006E+007  0.326614E-004   761488.        253829.     
  549.889        1.00000        3364.22        5.74166        2.75821       0.345982E+007  0.329189E-004   767819.        255940.     
  555.424        1.00000        3370.96        5.76663        2.77020       0.346901E+007  0.332171E-004   776063.        258688.     
  560.958        1.00000        3379.20        5.79740        2.78498       0.347774E+007  0.335641E-004   786286.        262095.     
  566.493        1.00000        3387.88        5.83033        2.80080       0.348671E+007  0.339586E-004   797287.        265762.     
  572.028        1.00000        3395.04        5.85813        2.81416       0.349720E+007  0.343966E-004   806608.        268869.     
  577.563        1.00000        3399.67        5.87669        2.82307       0.351047E+007  0.349033E-004   812832.        270944.     
  583.097        1.00000        3459.43        6.10501        2.93275       0.356749E+007  0.367842E-004   892640.        297547.     
  588.632        1.00000        3576.17        6.64842        3.19380       0.367284E+007  0.401696E-004  0.109434E+007   364781.     
  594.167        1.00000        3591.17        6.73542        3.23559       0.374501E+007  0.434095E-004  0.112789E+007   375962.     
  599.702        1.00000        3590.25        6.74391        3.23967       0.360926E+007  0.353113E-004  0.113044E+007   376813.     
  605.237        1.00000        3589.56        6.74199        3.23875       0.361810E+007  0.353750E-004  0.112958E+007   376527.     
  610.771        1.00000        3588.87        6.74008        3.23783       0.362680E+007  0.354378E-004  0.112872E+007   376241.     
  616.306        1.00000        3588.18        6.73815        3.23690       0.363539E+007  0.355001E-004  0.112786E+007   375953.     
  621.841        1.00000        3587.47        6.73626        3.23600       0.364397E+007  0.355659E-004  0.112700E+007   375668.     
  627.376        1.00000        3586.79        6.73432        3.23506       0.365234E+007  0.356257E-004  0.112614E+007   375380.     
  632.910        1.00000        3586.09        6.73240        3.23414       0.366069E+007  0.356882E-004  0.112528E+007   375093.     
  638.445        1.00000        3585.40        6.73050        3.23323       0.366891E+007  0.357480E-004  0.112443E+007   374809.     
  643.980        1.00000        3584.71        6.72857        3.23230       0.367704E+007  0.358074E-004  0.112357E+007   374522.     
  649.515        1.00000        3584.01        6.72667        3.23139       0.368509E+007  0.358674E-004  0.112271E+007   374237.     
  655.050        1.00000        3583.31        6.72478        3.23048       0.369311E+007  0.359289E-004  0.112186E+007   373954.     
  660.584        1.00000        3582.62        6.72284        3.22955       0.370100E+007  0.359868E-004  0.112100E+007   373666.     
  666.119        1.00000        3581.93        6.72095        3.22864       0.370881E+007  0.360440E-004  0.112015E+007   373384.     
  671.654        1.00000        3581.23        6.71908        3.22774       0.371663E+007  0.361032E-004  0.111931E+007   373103.     
  677.189        1.00000        3580.53        6.71715        3.22681       0.372438E+007  0.361617E-004  0.111845E+007   372816.     
  682.723        1.00000        3579.83        6.71530        3.22593       0.373207E+007  0.362201E-004  0.111761E+007   372538.     
  688.258        1.00000        3579.13        6.71339        3.22501       0.373969E+007  0.362771E-004  0.111676E+007   372254.     
  693.793        1.00000        3578.44        6.71153        3.22411       0.374723E+007  0.363316E-004  0.111593E+007   371975.     
  699.328        1.00000        3577.72        6.70965        3.22321       0.375484E+007  0.363908E-004  0.111508E+007   371693.     
  704.862        1.00000        3577.03        6.70775        3.22230       0.376233E+007  0.364448E-004  0.111423E+007   371411.     
  710.397        1.00000        3576.32        6.70595        3.22143       0.376990E+007  0.365025E-004  0.111341E+007   371138.     
  715.932        1.00000        3575.63        6.70408        3.22053       0.377737E+007  0.365555E-004  0.111258E+007   370859.     
  721.467        1.00000        3574.92        6.70219        3.21963       0.378492E+007  0.366129E-004  0.111173E+007   370576.     
  727.002        1.00000        3574.23        6.70033        3.21874       0.379242E+007  0.366654E-004  0.111090E+007   370299.     
  732.536        1.00000        3573.52        6.69852        3.21787       0.379999E+007  0.367207E-004  0.111008E+007   370026.     
  738.071        1.00000        3572.81        6.69626        3.21678       0.380752E+007  0.367783E-004  0.110911E+007   369702.     
  743.606        1.00000        3572.12        6.69480        3.21608       0.381521E+007  0.368271E-004  0.110841E+007   369470.     
  749.141        1.00000        3571.40        6.69246        3.21495       0.382281E+007  0.368843E-004  0.110741E+007   369138.     
  754.675        1.00000        3570.67        6.69013        3.21383       0.383053E+007  0.369427E-004  0.110642E+007   368805.     
  760.210        1.00000        3569.97        6.68774        3.21269       0.383832E+007  0.369971E-004  0.110541E+007   368469.     
  765.745        1.00000        3569.15        6.68289        3.21036       0.384649E+007  0.370828E-004  0.110355E+007   367850.     
  771.280        1.00000        3568.51        6.68299        3.21040       0.385451E+007  0.371112E-004  0.110339E+007   367796.     
  776.815        1.00000        3567.80        6.68056        3.20924       0.386295E+007  0.371665E-004  0.110237E+007   367455.     
  782.349        1.00000        3567.06        6.67816        3.20808       0.387175E+007  0.372244E-004  0.110134E+007   367115.     
  787.884        1.00000        3566.27        6.67423        3.20620       0.388115E+007  0.372990E-004  0.109981E+007   366603.     
  793.419        1.00000        3565.61        6.67324        3.20572       0.389069E+007  0.373366E-004  0.109927E+007   366425.     
  798.954        1.00000        3564.89        6.67072        3.20451       0.390111E+007  0.373912E-004  0.109822E+007   366074.     
  804.488        1.00000        3564.15        6.66821        3.20330       0.391248E+007  0.374483E-004  0.109717E+007   365723.     
  810.023        1.00000        3563.43        6.66562        3.20206       0.392510E+007  0.375026E-004  0.109609E+007   365365.     
  815.558        1.00000        3562.69        6.66301        3.20081       0.393964E+007  0.375605E-004  0.109501E+007   365004.     
  821.093        1.00000        3561.92        6.65988        3.19930       0.395750E+007  0.376273E-004  0.109375E+007   364582.     
  826.628        1.00000        3561.22        6.65750        3.19816       0.397866E+007  0.376713E-004  0.109275E+007   364250.     
  832.162        1.00000        3560.47        6.65453        3.19673       0.400929E+007  0.377335E-004  0.109154E+007   363848.     
  837.697        1.00000        3559.73        6.65127        3.19517       0.405733E+007  0.377889E-004  0.109025E+007   363416.     
  843.232        1.00000        3559.00        6.64724        3.19323       0.416726E+007  0.378442E-004  0.108870E+007   362901.     
  848.767        1.00000        3558.27        6.65435        3.19664       0.384529E+007  0.378948E-004  0.109081E+007   363603.     
  854.301        1.00000        3557.53        6.65202        3.19553       0.384955E+007  0.379505E-004  0.108982E+007   363274.     
  859.836        1.00000        3556.79        6.64970        3.19441       0.385375E+007  0.380062E-004  0.108883E+007   362944.     
  865.371        1.00000        3556.05        6.64737        3.19329       0.385789E+007  0.380619E-004  0.108784E+007   362614.     
  870.906        1.00000        3555.31        6.64503        3.19217       0.386198E+007  0.381174E-004  0.108685E+007   362284.     
  876.441        1.00000        3554.56        6.64269        3.19105       0.386602E+007  0.381729E-004  0.108586E+007   361953.     
