|6.6.6
CV3hy1wt_678_1.tab                                                                                  
           2
P(bar)  
   1.0000000000000000     
   350.87468671679198     
         400
T(K)    
   275.00000000000000     
   9.1137123745819402     
         300
           9
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K      Ks,bar         Gs,bar        
  1.000000       275.0000       3546.958       5.721008       2.126198       4149098.      0.3569455E-04   947119.9       160347.9    
  351.8747       275.0000       3609.499       5.661790       2.057937       4151386.      0.3536953E-04   953234.8       152866.1    
  702.7494       275.0000       3611.007       5.665727       2.058676       4151815.      0.3530416E-04   955096.9       153039.7    
  1053.624       275.0000       3612.255       5.669931       2.059707       4152238.      0.3523996E-04   956944.0       153246.0    
  1404.499       275.0000       3614.055       5.671763       2.058149       4155324.      0.3519727E-04   958481.0       153090.5    
  1755.373       275.0000       3615.559       5.675686       2.058886       4155753.      0.3513241E-04   960342.9       153263.9    
  2106.248       275.0000       3484.185       5.969808       2.359552       3928771.      0.3366264E-04   983072.7       193981.5    
  2457.123       275.0000       3613.390       5.688548       2.065914       4156478.      0.3503472E-04   963651.7       154219.5    
  2807.997       275.0000       3616.107       5.688287       2.062143       4161216.      0.3500296E-04   965019.7       153772.5    
  3158.872       275.0000       3513.872       5.919148       2.307421       3969503.      0.3382027E-04   981684.1       187085.2    
  3509.747       275.0000       3524.077       5.917590       2.302502       3964407.      0.3367263E-04   984950.7       186829.5    
  3860.622       275.0000       3622.480       5.687094       2.059606       4163801.      0.3493556E-04   966734.0       153664.7    
  4211.496       275.0000       3619.138       5.807842       2.182761       3999578.      0.3345055E-04   990863.2       172431.9    
  4562.371       275.0000       3619.711       5.699494       2.066302       4166181.      0.3484747E-04   969772.1       154547.3    
  4913.246       275.0000       3486.493       5.847121       2.220613       4156858.      0.3529441E-04   962759.9       171923.3    
  5264.120       275.0000       3510.239       5.863827       2.233881       4104738.      0.3467594E-04   973418.3       175168.8    
  5614.995       275.0000       3500.808       5.915284       2.282239       4051158.      0.3423028E-04   981828.4       182343.6    
  5965.870       275.0000       3414.494       5.948047       2.313138       4143853.      0.3535152E-04   964427.8       182696.2    
  6316.744       275.0000       3614.004       5.746285       2.099381       4146290.      0.3443412E-04   980958.3       159283.6    
  6667.619       275.0000       3516.975       6.003263       2.359091       3920827.      0.3286955E-04   1006514.       195730.6    
  7018.494       275.0000       3531.035       5.857390       2.210969       4122261.      0.3448085E-04   981316.1       172610.6    
  7369.368       275.0000       3527.679       5.847750       2.198017       4149534.      0.3466965E-04   979088.7       170431.9    
  7720.243       275.0000       3535.133       5.865082       2.212451       4120949.      0.3433533E-04   985333.9       173042.6    
  8071.118       275.0000       3597.453       5.785507       2.125289       4153175.      0.3427880E-04   987487.1       162491.6    
  8421.992       275.0000       3504.182       5.903633       2.246027       4127167.      0.3440712E-04   985610.9       176773.3    
  8772.867       275.0000       3549.987       5.899666       2.237954       4071725.      0.3368278E-04   998545.2       177798.9    
  9123.742       275.0000       3555.928       5.838903       2.172502       4160480.      0.3434735E-04   988539.7       167831.5    
  9474.617       275.0000       3562.270       5.836192       2.166394       4163040.      0.3428363E-04   990434.0       167186.6    
  9825.491       275.0000       3645.581       5.769545       2.090924       4146373.      0.3372645E-04   1001017.       159383.4    
  10176.37       275.0000       3574.984       5.865140       2.189813       4117339.      0.3373263E-04   1001216.       171430.6    
  10527.24       275.0000       3534.693       5.887051       2.210030       4153462.      0.3415081E-04   994841.3       172642.6    
  10878.12       275.0000       3667.994       5.773381       2.084695       4132094.      0.3334326E-04   1010068.       159409.3    
  11228.99       275.0000       3537.318       5.895272       2.212220       4153330.      0.3402493E-04   998549.7       173113.4    
  11579.86       275.0000       3539.243       5.897070       2.210942       4155736.      0.3398012E-04   1000111.       173007.6    
  11930.74       275.0000       3542.516       5.889130       2.199615       4170503.      0.3403146E-04   1000080.       171397.8    
  12281.61       275.0000       3632.494       5.809419       2.111330       4162701.      0.3352679E-04   1010041.       161926.2    
  12632.49       275.0000       3586.575       5.861065       2.163579       4161991.      0.3366132E-04   1008210.       167890.3    
  12983.36       275.0000       3582.897       5.859274       2.158636       4178096.      0.3375316E-04   1007444.       166952.5    
  13334.24       275.0000       3569.114       5.890405       2.188180       4160437.      0.3361221E-04   1010512.       170893.9    
  13685.11       275.0000       3532.417       5.928193       2.224494       4167572.      0.3377081E-04   1008351.       174797.1    
  14035.99       275.0000       3567.390       5.886963       2.178419       4183988.      0.3370044E-04   1010606.       169290.8    
  14386.86       275.0000       3664.112       5.789185       2.069818       4194328.      0.3331993E-04   1018714.       156975.9    
  14737.74       275.0000       3662.046       5.797095       2.075210       4193514.      0.3326758E-04   1020404.       157705.9    
  15088.61       275.0000       3661.939       5.802060       2.077385       4194211.      0.3321929E-04   1022042.       158032.1    
  15439.49       275.0000       3667.972       5.800382       2.072078       4195931.      0.3315417E-04   1024089.       157484.6    
  15790.36       275.0000       3588.046       5.893317       2.169135       4183232.      0.3333422E-04   1021074.       168822.8    
  16141.24       275.0000       3613.763       5.867749       2.138787       4190982.      0.3323426E-04   1023825.       165308.3    
  16492.11       275.0000       3546.628       5.947255       2.219314       4180853.      0.3338092E-04   1021524.       174684.1    
  16842.98       275.0000       3540.593       5.954393       2.223704       4187160.      0.3340214E-04   1021874.       175077.3    
  17193.86       275.0000       3685.170       5.726334       2.004748       4342851.      0.3410849E-04   1010924.       148107.5    
  17544.73       275.0000       3686.541       5.729823       2.005330       4343566.      0.3405250E-04   1012659.       148248.7    
  17895.61       275.0000       3687.922       5.733269       2.005647       4344397.      0.3399812E-04   1014432.       148351.1    
  18246.48       275.0000       3689.289       5.736747       2.006229       4345111.      0.3394251E-04   1016165.       148492.2    
  18597.36       275.0000       3690.795       5.741003       2.006664       4346341.      0.3389299E-04   1018297.       148617.3    
  18948.23       275.0000       3692.031       5.743455       2.007130       4346869.      0.3383444E-04   1019586.       148736.2    
  19299.11       275.0000       3693.393       5.746917       2.007712       4347580.      0.3377940E-04   1021316.       148877.2    
  19649.98       275.0000       3694.405       5.751065       2.009243       4347694.      0.3372092E-04   1023055.       149145.3    
  20000.86       275.0000       3696.043       5.754187       2.009510       4348475.      0.3366553E-04   1024783.       149251.1    
  20351.73       275.0000       3697.658       5.759558       2.007792       4354145.      0.3365223E-04   1027858.       149061.0    
  20702.61       275.0000       3698.544       5.763622       2.008758       4355282.      0.3360366E-04   1029645.       149240.3    
  21053.48       275.0000       3699.790       5.767673       2.009491       4356101.      0.3355183E-04   1031575.       149399.6    
  21404.36       275.0000       3701.363       5.770377       2.009532       4357126.      0.3349897E-04   1033160.       149469.1    
  21755.23       275.0000       3703.989       5.773188       2.007480       4360175.      0.3346265E-04   1035502.       149269.9    
  22106.11       275.0000       3705.011       5.776583       2.007772       4361108.      0.3341773E-04   1037183.       149354.5    
  22456.98       275.0000       3705.310       5.780319       2.011243       4359067.      0.3333692E-04   1038177.       149883.5    
  22807.85       275.0000       3707.885       5.783258       2.008837       4362915.      0.3331108E-04   1040637.       149628.9    
  23158.73       275.0000       3709.969       5.787481       2.007286       4367222.      0.3328391E-04   1043342.       149481.9    
  23509.60       275.0000       3709.110       5.794416       2.012579       4364059.      0.3320986E-04   1045028.       150236.5    
  23860.48       275.0000       3712.671       5.793778       2.007761       4369260.      0.3318353E-04   1046716.       149661.7    
  24211.35       275.0000       3714.014       5.797047       2.008356       4370135.      0.3313192E-04   1048383.       149804.5    
  24562.23       275.0000       3713.700       5.801946       2.013161       4366290.      0.3304818E-04   1049448.       150509.5    
  24913.10       275.0000       3714.350       5.806996       2.014485       4367335.      0.3300331E-04   1051545.       150733.8    
  25263.98       275.0000       3715.711       5.810367       2.014807       4368479.      0.3295498E-04   1053321.       150837.3    
  25614.85       275.0000       3717.068       5.813778       2.014995       4369536.      0.3290671E-04   1055142.       150920.5    
  25965.73       275.0000       3720.272       5.816207       2.013750       4370416.      0.3285018E-04   1057351.       150864.1    
  26316.60       275.0000       3722.826       5.817275       2.012050       4371354.      0.3280111E-04   1058879.       150712.9    
  26667.48       275.0000       3722.045       5.820594       2.013429       4373662.      0.3277289E-04   1059820.       150887.9    
  27018.35       275.0000       3724.324       5.824197       2.013333       4375441.      0.3271751E-04   1062050.       150965.9    
  27369.23       275.0000       3740.209       5.860369       1.940988       4465926.      0.3354939E-04   1096655.       140909.9    
  27720.10       275.0000       3754.926       5.897655       1.961808       4521419.      0.3398430E-04   1113364.       144515.4    
  28070.97       275.0000       3756.167       5.900796       1.962703       4521735.      0.3393042E-04   1114947.       144695.1    
  28421.85       275.0000       3757.395       5.904116       1.963806       4521788.      0.3387484E-04   1116568.       144905.2    
  28772.72       275.0000       3758.692       5.906288       1.963595       4523493.      0.3383124E-04   1117959.       144924.0    
  29123.60       275.0000       3764.068       5.920880       2.061846       4508544.      0.3355057E-04   1106205.       160018.4    
  29474.47       275.0000       3765.359       5.924173       2.062850       4508622.      0.3349543E-04   1107845.       160229.2    
  29825.35       275.0000       3766.474       5.927676       2.064001       4508613.      0.3344021E-04   1109498.       160455.5    
  30176.22       275.0000       3767.729       5.930926       2.064971       4508781.      0.3338604E-04   1111119.       160659.8    
  30527.10       275.0000       3769.019       5.933484       2.065199       4509922.      0.3333870E-04   1112596.       160750.5    
  30877.97       275.0000       3770.277       5.936606       2.066036       4510260.      0.3328604E-04   1114190.       160934.5    
  31228.85       275.0000       3771.560       5.940293       2.067505       4509726.      0.3322755E-04   1115916.       161218.3    
  31579.72       275.0000       3772.777       5.943985       2.068964       4509300.      0.3317036E-04   1117628.       161497.9    
  31930.60       275.0000       3774.028       5.947235       2.069951       4509443.      0.3311696E-04   1119251.       161705.7    
  32281.47       275.0000       3775.287       5.948953       2.069297       4511783.      0.3307849E-04   1120532.       161657.4    
  32632.35       275.0000       3776.536       5.952065       2.070143       4512115.      0.3302668E-04   1122126.       161843.2    
  32983.22       275.0000       3777.784       5.955175       2.070989       4512447.      0.3297503E-04   1123719.       162029.0    
  33334.10       275.0000       3779.089       5.957632       2.071098       4513673.      0.3292981E-04   1125190.       162102.0    
  33684.97       275.0000       3780.328       5.960978       2.072289       4513596.      0.3287549E-04   1126818.       162341.7    
  34035.84       275.0000       3781.347       5.964931       2.074156       4513076.      0.3281899E-04   1128515.       162678.1    
  34386.72       275.0000       3782.841       5.966825       2.073610       4514769.      0.3277695E-04   1129929.       162656.9    
  34737.59       275.0000       3783.850       5.971075       2.075778       4513744.      0.3271699E-04   1131696.       163040.6    
  35088.47       275.0000       3785.313       5.972192       2.074446       4516720.      0.3268414E-04   1132918.       162894.4    
  35439.34       275.0000       3786.581       5.976121       2.076262       4515741.      0.3262498E-04   1134695.       163234.4    
  35790.22       275.0000       3787.821       5.979353       2.077290       4515850.      0.3257326E-04   1136314.       163449.6    
  36141.09       275.0000       3789.042       5.981641       2.077247       4517396.      0.3253114E-04   1137726.       163495.4    
  36491.97       275.0000       3790.301       5.984433       2.077824       4518163.      0.3248419E-04   1139249.       163640.7    
  36842.84       275.0000       3791.433       5.986962       2.077814       4519163.      0.3243776E-04   1140740.       163688.0    
  37193.72       275.0000       3792.690       5.989945       2.078631       4519754.      0.3239046E-04   1142301.       163871.1    
  37544.59       275.0000       3793.850       5.992824       2.079265       4520543.      0.3234372E-04   1143826.       164021.1    
  37895.47       275.0000       3795.149       5.995242       2.079398       4521690.      0.3229990E-04   1145290.       164098.3    
  38246.34       275.0000       3796.343       5.998039       2.079969       4522543.      0.3225382E-04   1146803.       164240.1    
  38597.22       275.0000       3797.503       6.000145       2.079569       4524279.      0.3221384E-04   1148198.       164227.1    
  38948.09       275.0000       3798.742       6.002827       2.080005       4525146.      0.3216830E-04   1149703.       164349.6    
  39298.96       275.0000       3800.086       6.005754       2.080785       4525624.      0.3212079E-04   1151281.       164531.1    
  39649.84       275.0000       3801.221       6.008556       2.081347       4526435.      0.3207515E-04   1152786.       164669.1    
