|6.6.6
Comet_67P_CG_v7_3.tab                                                                               
           2
T(K)    
   273.150000000000     
   1.82167919799499     
         400
P(bar)  
   1.00000000000000     
   167.220735785953     
         300
           9
T(K)           P(bar)         rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K      Ks,bar         Gs,bar        
  273.150        1.00000        2857.50        4.99109        2.39764       0.195078E+007  0.279813E-004   492807.        164269.     
  274.972        1.00000        2857.36        4.99047        2.39734       0.196435E+007  0.280550E-004   492658.        164219.     
  276.793        1.00000        2857.21        4.98984        2.39704       0.197772E+007  0.281281E-004   492510.        164170.     
  278.615        1.00000        2857.06        4.98921        2.39674       0.199090E+007  0.282008E-004   492361.        164120.     
  280.437        1.00000        2856.92        4.98859        2.39644       0.200389E+007  0.282731E-004   492211.        164070.     
  282.258        1.00000        2856.77        4.98795        2.39614       0.201669E+007  0.283449E-004   492061.        164020.     
  284.080        1.00000        2856.62        4.98732        2.39583       0.202931E+007  0.284164E-004   491911.        163970.     
  285.902        1.00000        2856.47        4.98668        2.39553       0.204175E+007  0.284874E-004   491760.        163920.     
  287.723        1.00000        2856.32        4.98605        2.39522       0.205402E+007  0.285580E-004   491608.        163869.     
  289.545        1.00000        2856.18        4.98541        2.39491       0.206612E+007  0.286282E-004   491456.        163819.     
  291.367        1.00000        2856.03        4.98476        2.39460       0.207805E+007  0.286980E-004   491304.        163768.     
  293.188        1.00000        2855.88        4.98412        2.39429       0.208983E+007  0.287674E-004   491151.        163717.     
  295.010        1.00000        2855.73        4.98347        2.39398       0.210144E+007  0.288365E-004   490998.        163666.     
  296.832        1.00000        2855.58        4.98282        2.39367       0.211290E+007  0.289053E-004   490844.        163615.     
  298.654        1.00000        2855.43        4.98217        2.39336       0.212420E+007  0.289736E-004   490689.        163563.     
  300.475        1.00000        2855.27        4.98151        2.39304       0.213536E+007  0.290417E-004   490534.        163511.     
  302.297        1.00000        2855.12        4.98085        2.39273       0.214637E+007  0.291094E-004   490379.        163460.     
  304.119        1.00000        2854.97        4.98019        2.39241       0.215724E+007  0.291768E-004   490223.        163408.     
  305.940        1.00000        2854.82        4.97953        2.39209       0.216796E+007  0.292438E-004   490066.        163355.     
  307.762        1.00000        2854.67        4.97887        2.39177       0.217855E+007  0.293106E-004   489909.        163303.     
  309.584        1.00000        2854.51        4.97820        2.39145       0.218901E+007  0.293770E-004   489752.        163251.     
  311.405        1.00000        2854.36        4.97753        2.39113       0.219933E+007  0.294432E-004   489593.        163198.     
  313.227        1.00000        2854.21        4.97685        2.39080       0.220953E+007  0.295091E-004   489435.        163145.     
  315.049        1.00000        2854.05        4.97618        2.39048       0.221960E+007  0.295747E-004   489275.        163092.     
  316.870        1.00000        2853.90        4.97550        2.39015       0.222954E+007  0.296400E-004   489115.        163038.     
  318.692        1.00000        2853.75        4.97482        2.38983       0.223937E+007  0.297051E-004   488955.        162985.     
  320.514        1.00000        2853.59        4.97413        2.38950       0.224907E+007  0.297700E-004   488794.        162931.     
  322.335        1.00000        2853.44        4.97345        2.38917       0.225866E+007  0.298345E-004   488632.        162877.     
  324.157        1.00000        2853.28        4.97276        2.38883       0.226813E+007  0.298989E-004   488470.        162823.     
  325.979        1.00000        2853.13        4.97206        2.38850       0.227749E+007  0.299630E-004   488307.        162769.     
  327.800        1.00000        2852.97        4.97137        2.38817       0.228674E+007  0.300269E-004   488144.        162715.     
  329.622        1.00000        2852.81        4.97067        2.38783       0.229588E+007  0.300906E-004   487980.        162660.     
  331.444        1.00000        2852.66        4.96996        2.38749       0.230492E+007  0.301541E-004   487815.        162605.     
  333.265        1.00000        2852.50        4.96926        2.38716       0.231385E+007  0.302173E-004   487650.        162550.     
  335.087        1.00000        2852.34        4.96855        2.38682       0.232268E+007  0.302804E-004   487484.        162495.     
  336.909        1.00000        2852.18        4.96784        2.38647       0.233141E+007  0.303433E-004   487318.        162439.     
  338.730        1.00000        2852.03        4.96713        2.38613       0.234004E+007  0.304060E-004   487150.        162383.     
  340.552        1.00000        2851.87        4.96641        2.38579       0.234857E+007  0.304686E-004   486983.        162328.     
  342.374        1.00000        2851.71        4.96569        2.38544       0.235701E+007  0.305309E-004   486814.        162271.     
  344.195        1.00000        2851.55        4.96496        2.38509       0.236536E+007  0.305931E-004   486645.        162215.     
  346.017        1.00000        2851.39        4.96424        2.38474       0.237361E+007  0.306552E-004   486476.        162159.     
  347.839        1.00000        2851.23        4.96351        2.38439       0.238177E+007  0.307171E-004   486305.        162102.     
  349.661        1.00000        2851.07        4.96277        2.38404       0.238985E+007  0.307789E-004   486134.        162045.     
  351.482        1.00000        2850.91        4.96204        2.38369       0.239783E+007  0.308405E-004   485963.        161988.     
  353.304        1.00000        2850.75        4.96130        2.38333       0.240574E+007  0.309020E-004   485790.        161930.     
  355.126        1.00000        2850.59        4.96055        2.38297       0.241356E+007  0.309634E-004   485618.        161873.     
  356.947        1.00000        2850.43        4.95981        2.38261       0.242129E+007  0.310247E-004   485444.        161815.     
  358.769        1.00000        2850.27        4.95906        2.38225       0.242895E+007  0.310858E-004   485270.        161757.     
  360.591        1.00000        2850.11        4.95830        2.38189       0.243652E+007  0.311469E-004   485095.        161698.     
  362.412        1.00000        2849.94        4.95755        2.38153       0.244402E+007  0.312078E-004   484919.        161640.     
  364.234        1.00000        2849.78        4.95679        2.38116       0.245144E+007  0.312687E-004   484743.        161581.     
  366.056        1.00000        2849.62        4.95602        2.38080       0.245879E+007  0.313295E-004   484566.        161522.     
  367.877        1.00000        2849.46        4.95526        2.38043       0.246606E+007  0.313902E-004   484388.        161463.     
  369.699        1.00000        2849.29        4.95448        2.38006       0.247325E+007  0.314508E-004   484209.        161403.     
  371.521        1.00000        2849.13        4.95371        2.37969       0.248038E+007  0.315113E-004   484030.        161343.     
