Table of depth vs. pressure for the Preliminary Reference Earth Model, from Dziewonski and Anderson, 1981: https://doi.org/10.1016/0031-9201(81)90046-7
Depth (km), Pressure (kbar)
0.0,        0.0
3.0,        0.303
15.0,       3.370
24.4,       6.043
40.0,       11.239
60.0,       17.891
80.0,       24.546
115.0,      36.183
150.0,      47.824
185.0,      59.466
220.0,      71.115
265.0,      86.497
310.0,      102.027
355.0,      117.702
400.0,      133.527
450.0,      152.251
500.0,      171.311
550.0,      190.703
600.0,      210.426
635.0,      224.364
670.0,      238.342
721.0,      260.783
771.0,      282.928
871.0,      327.623
971.0,      372.852
1071.0,     418.606
1171.0,     464.882
1271.0,     511.676
1371.0,     558.991
1471.0,     606.830
1571.0,     655.202
1671.0,     704.119
1771.0,     753.598
1871.0,     803.660
1971.0,     854.332
2071.0,     905.646
2171.0,     957.641
2271.0,     1010.363
2371.0,     1063.864
2471.0,     1118.207
2571.0,     1173.465
2671.0,     1229.719
2741.0,     1269.742
2771.0,     1287.067
2871.0,     1345.619
2891.0,     1357.510
2971.0,     1441.941
3071.0,     1546.982
3171.0,     1651.209
