|6.6.6
chon_1.tab                                                                                          
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3411.954       6.905326       3.317211       2703051.      0.2108553E-04
  3412.572       7.673449       4.403089       2703371.      0.2106117E-04
  3413.206       7.675503       4.403724       2703430.      0.2103511E-04
  3413.839       7.677553       4.404357       2703661.      0.2100925E-04
  3414.472       7.679602       4.404990       2703803.      0.2098345E-04
  3415.105       7.681650       4.405622       2703963.      0.2095760E-04
  3415.852       7.684146       4.406505       2704319.      0.2093106E-04
  3416.483       7.686189       4.407136       2704535.      0.2090561E-04
  3508.081       7.961893       4.578780       2750003.      0.2032500E-04
  3508.655       7.963869       4.579325       2750239.      0.2030034E-04
  3509.229       7.965844       4.579870       2750071.      0.2027545E-04
  3509.803       7.967815       4.580415       2750313.      0.2025126E-04
  3510.376       7.969786       4.580960       2750512.      0.2022664E-04
  3510.949       7.971753       4.581504       2750676.      0.2020207E-04
  3511.521       7.973721       4.582047       2750796.      0.2017771E-04
  3512.093       7.975686       4.582591       2750965.      0.2015358E-04
  3512.665       7.977649       4.583133       2751131.      0.2012920E-04
  3513.305       7.978785       4.583043       2751061.      0.2010178E-04
  3513.876       7.980746       4.583585       2751473.      0.2007776E-04
  3514.446       7.982706       4.584127       2751544.      0.2005363E-04
  3515.016       7.984663       4.584668       2751833.      0.2002954E-04
  3515.586       7.986620       4.585210       2751900.      0.2000533E-04
  3516.155       7.988575       4.585750       2751889.      0.1998148E-04
  3516.724       7.990527       4.586290       2752236.      0.1995764E-04
  3517.292       7.992479       4.586830       2752330.      0.1993374E-04
  3517.860       7.994429       4.587370       2752401.      0.1990992E-04
  3518.427       7.996376       4.587909       2752633.      0.1988637E-04
  3518.995       7.998323       4.588447       2752729.      0.1986251E-04
  3519.671       8.000928       4.589164       2752880.      0.1984466E-04
  3520.237       8.002871       4.589701       2753025.      0.1982092E-04
  3520.803       8.004810       4.590239       2753312.      0.1979764E-04
  3521.368       8.006749       4.590776       2753394.      0.1977409E-04
  3521.933       8.008686       4.591313       2753524.      0.1975077E-04
  3522.498       8.010622       4.591849       2753642.      0.1972742E-04
  3523.062       8.012556       4.592385       2753887.      0.1970418E-04
  3523.626       8.014488       4.592920       2753942.      0.1968112E-04
  3524.189       8.016420       4.593455       2754030.      0.1965802E-04
  3524.752       8.018347       4.593990       2754492.      0.1963501E-04
  3525.315       8.020275       4.594524       2754552.      0.1961180E-04
  3525.877       8.022201       4.595058       2754687.      0.1958878E-04
  3526.439       8.024125       4.595592       2754799.      0.1956596E-04
  3527.000       8.026047       4.596125       2754986.      0.1954309E-04
  3527.561       8.027969       4.596658       2755004.      0.1952036E-04
  3528.122       8.029888       4.597190       2755204.      0.1949764E-04
  3528.682       8.031806       4.597722       2755293.      0.1947482E-04
  3529.242       8.033722       4.598254       2755497.      0.1945211E-04
  3529.889       8.036359       4.599030       2755714.      0.1943399E-04
  3530.448       8.038272       4.599560       2755804.      0.1941148E-04
  3531.006       8.040184       4.600091       2755806.      0.1938903E-04
  3531.564       8.042092       4.600621       2756140.      0.1936658E-04
  3532.122       8.043999       4.601150       2756323.      0.1934437E-04
  3532.679       8.045905       4.601680       2756521.      0.1932193E-04
  3533.236       8.047810       4.602209       2756521.      0.1929956E-04
  3533.793       8.049712       4.602737       2756713.      0.1927738E-04
  3534.349       8.051613       4.603265       2756932.      0.1925523E-04
  3534.905       8.053513       4.603793       2757106.      0.1923328E-04
  3535.460       8.055411       4.604320       2757148.      0.1921103E-04
  3536.015       8.057307       4.604847       2757416.      0.1918896E-04
  3536.570       8.059203       4.605374       2757404.      0.1916711E-04
  3537.124       8.061097       4.605900       2757481.      0.1914533E-04
  3537.678       8.062989       4.606426       2757642.      0.1912326E-04
  3538.231       8.064879       4.606951       2757812.      0.1910166E-04
  3538.785       8.066767       4.607476       2758034.      0.1907978E-04
  3539.337       8.068654       4.608001       2758399.      0.1905808E-04
  3539.970       8.071195       4.608744       2758424.      0.1904072E-04
  3540.522       8.073079       4.609268       2758524.      0.1901904E-04
  3541.073       8.074962       4.609792       2758704.      0.1899756E-04
  3541.624       8.076842       4.610315       2758784.      0.1897603E-04
  3542.175       8.078721       4.610838       2758987.      0.1895448E-04
  3542.725       8.080599       4.611360       2759188.      0.1893303E-04
  3543.275       8.082474       4.611882       2759539.      0.1891184E-04
  3543.825       8.084349       4.612404       2759518.      0.1889059E-04
  3544.374       8.086223       4.612925       2759546.      0.1886917E-04
  3544.923       8.088094       4.613446       2759798.      0.1884810E-04
  3545.472       8.089965       4.613967       2759877.      0.1882698E-04
  3546.020       8.091833       4.614487       2760085.      0.1880589E-04
  3546.568       8.093700       4.615007       2760222.      0.1878472E-04
  3547.115       8.095566       4.615527       2760361.      0.1876377E-04
  3547.662       8.097431       4.616046       2760375.      0.1874280E-04
  3548.209       8.099293       4.616565       2760551.      0.1872165E-04
  3548.755       8.101155       4.617083       2760788.      0.1870097E-04
  3549.301       8.103016       4.617601       2760784.      0.1868015E-04
  3549.920       8.105496       4.618331       2761012.      0.1866355E-04
  3550.465       8.107351       4.618848       2761271.      0.1864271E-04
  3551.010       8.109207       4.619365       2761273.      0.1862216E-04
  3551.555       8.111059       4.619882       2761580.      0.1860143E-04
  3552.099       8.112912       4.620398       2761655.      0.1858074E-04
  3552.642       8.114762       4.620914       2761825.      0.1856026E-04
  3553.186       8.116612       4.621429       2761936.      0.1853975E-04
  3553.729       8.118459       4.621945       2762230.      0.1851940E-04
  3554.271       8.120306       4.622459       2762136.      0.1849887E-04
  3554.791       8.122997       4.623608       2762586.      0.1848807E-04
  3555.333       8.124839       4.624122       2762674.      0.1846771E-04
  3555.874       8.126679       4.624636       2762768.      0.1844746E-04
  3556.415       8.128517       4.625149       2763060.      0.1842717E-04
  3556.956       8.130354       4.625662       2763167.      0.1840698E-04
  3557.496       8.132190       4.626174       2763228.      0.1838683E-04
  3558.036       8.134024       4.626686       2763479.      0.1836679E-04
  3558.576       8.135859       4.627198       2763486.      0.1834686E-04
  3559.115       8.137689       4.627710       2763824.      0.1832679E-04
  3559.710       8.139301       4.627941       2763914.      0.1830455E-04
  3560.249       8.141131       4.628452       2763993.      0.1828460E-04
  3560.787       8.142959       4.628963       2764027.      0.1826473E-04
  3561.325       8.144786       4.629473       2764187.      0.1824494E-04
  3561.844       8.146887       4.630206       2764446.      0.1822701E-04
  3562.382       8.148711       4.630715       2764502.      0.1820720E-04
  3562.926       8.150591       4.631243       2764702.      0.1818820E-04
  3563.463       8.152412       4.631752       2764876.      0.1816844E-04
  3563.999       8.154231       4.632260       2765016.      0.1814877E-04
  3567.594       8.169677       4.641319       2766351.      0.1810215E-04
  3568.129       8.171491       4.641825       2766365.      0.1808275E-04
  3585.982       8.250021       4.690182       2772881.      0.1790852E-04
  3586.509       8.251818       4.690676       2773018.      0.1788966E-04
  3587.037       8.253613       4.691170       2773150.      0.1787084E-04
  3587.564       8.255408       4.691663       2773171.      0.1785200E-04
  3580.577       8.224284       4.671733       2770872.      0.1790415E-04
  3581.106       8.226082       4.672230       2770935.      0.1788537E-04
  3581.635       8.227878       4.672727       2770943.      0.1786659E-04
  3582.163       8.229672       4.673224       2771152.      0.1784789E-04
  3582.691       8.231464       4.673720       2771362.      0.1782918E-04
  3583.219       8.233257       4.674216       2771405.      0.1781043E-04
  3583.746       8.235046       4.674711       2771583.      0.1779163E-04
  3584.273       8.236836       4.675207       2771633.      0.1777310E-04
  3584.799       8.238623       4.675702       2771852.      0.1775450E-04
  3585.326       8.240410       4.676196       2771861.      0.1773597E-04
  3585.852       8.242195       4.676690       2772019.      0.1771755E-04
  3612.079       8.358957       4.748000       2781671.      0.1749733E-04
  3612.595       8.360716       4.748477       2781886.      0.1747979E-04
