|6.6.6
echon_4.tab                                                                                         
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3505.081       7.082536       3.402340       2754298.      0.2024039E-04
  3505.653       7.955625       4.626639       2754564.      0.2021493E-04
  3506.242       7.957766       4.627179       2754696.      0.2018722E-04
  3506.830       7.959903       4.627718       2754900.      0.2016061E-04
  3507.419       7.962040       4.628257       2754806.      0.2013337E-04
  3508.006       7.964173       4.628796       2755099.      0.2010615E-04
  3508.593       7.966304       4.629334       2755232.      0.2007935E-04
  3509.180       7.968432       4.629871       2755538.      0.2005249E-04
  3509.766       7.970560       4.630409       2755798.      0.2002560E-04
  3510.352       7.972685       4.630945       2755861.      0.1999865E-04
  3510.937       7.974809       4.631482       2756021.      0.1997219E-04
  3511.521       7.976931       4.632018       2755926.      0.1994577E-04
  3512.106       7.979049       4.632553       2756245.      0.1991928E-04
  3512.689       7.981166       4.633088       2756545.      0.1989272E-04
  3513.273       7.983282       4.633623       2756528.      0.1986631E-04
  3513.855       7.985396       4.634157       2756610.      0.1983995E-04
  3514.438       7.987507       4.634691       2756913.      0.1981375E-04
  3515.231       7.989391       4.635401       2757204.      0.1979508E-04
  3515.813       7.991498       4.635934       2757366.      0.1976895E-04
  3516.394       7.993604       4.636467       2757506.      0.1974303E-04
  3516.974       7.995705       4.636999       2757779.      0.1971700E-04
  3517.554       7.997807       4.637531       2757818.      0.1969093E-04
  3518.134       7.999906       4.638062       2758076.      0.1966515E-04
  3518.713       8.002004       4.638593       2757945.      0.1963947E-04
  3519.292       8.004099       4.639124       2758255.      0.1961397E-04
  3519.870       8.006191       4.639654       2758539.      0.1958843E-04
  3520.447       8.008283       4.640184       2758592.      0.1956282E-04
  3521.025       8.010373       4.640714       2758756.      0.1953736E-04
  3521.716       8.013376       4.641632       2758765.      0.1951596E-04
  3522.292       8.015460       4.642160       2759117.      0.1949051E-04
  3522.867       8.017542       4.642688       2759520.      0.1946546E-04
  3523.443       8.019623       4.643216       2759546.      0.1944037E-04
  3524.017       8.021702       4.643743       2759697.      0.1941522E-04
  3524.592       8.023780       4.644270       2759813.      0.1939026E-04
  3525.165       8.025856       4.644796       2759827.      0.1936523E-04
  3525.739       8.027929       4.645322       2760017.      0.1934027E-04
  3526.312       8.030000       4.645848       2760315.      0.1931579E-04
  3526.884       8.032070       4.646373       2760468.      0.1929077E-04
  3527.456       8.034137       4.646898       2760597.      0.1926606E-04
  3528.028       8.036204       4.647423       2760798.      0.1924156E-04
  3528.599       8.038267       4.647947       2760991.      0.1921667E-04
  3529.169       8.040329       4.648470       2761224.      0.1919256E-04
  3529.739       8.042391       4.648994       2761154.      0.1916791E-04
  3530.309       8.044449       4.649517       2761359.      0.1914352E-04
  3530.878       8.046506       4.650039       2761603.      0.1911940E-04
  3531.447       8.048560       4.650561       2761811.      0.1909509E-04
  3532.119       8.051472       4.651452       2762042.      0.1907448E-04
  3532.686       8.053522       4.651973       2762213.      0.1905008E-04
  3533.254       8.055572       4.652494       2762270.      0.1902617E-04
  3533.821       8.057619       4.653015       2762333.      0.1900224E-04
  3534.387       8.059663       4.653535       2762545.      0.1897828E-04
  3534.953       8.061707       4.654054       2762762.      0.1895441E-04
  3535.519       8.063749       4.654574       2762904.      0.1893094E-04
  3536.084       8.065788       4.655092       2763001.      0.1890679E-04
  3536.649       8.067827       4.655611       2763100.      0.1888348E-04
  3537.213       8.069863       4.656129       2763350.      0.1885965E-04
  3537.777       8.071897       4.656647       2763490.      0.1883595E-04
  3538.340       8.073929       4.657164       2763845.      0.1881270E-04
  3538.903       8.075962       4.657681       2763722.      0.1878913E-04
  3539.466       8.077990       4.658198       2763995.      0.1876592E-04
  3540.028       8.080018       4.658714       2763977.      0.1874260E-04
  3540.589       8.082044       4.659230       2764191.      0.1871916E-04
