|6.6.6
echonhy_1.tab                                                                                       
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3369.176       5.315685       1.965358       4338095.      0.3658416E-04
  3370.090       5.317540       1.965533       4338705.      0.3654388E-04
  3371.004       5.319396       1.965708       4339315.      0.3650368E-04
  3371.918       5.321250       1.965883       4339923.      0.3646357E-04
  3372.830       5.323103       1.966059       4340530.      0.3642355E-04
  3373.742       5.324955       1.966234       4341137.      0.3638362E-04
  3374.653       5.326805       1.966409       4341742.      0.3634378E-04
  3375.563       5.328654       1.966585       4342346.      0.3630403E-04
  3376.472       5.330502       1.966760       4342949.      0.3626437E-04
  3377.381       5.332348       1.966936       4343550.      0.3622481E-04
  3378.205       5.333127       1.967111       4344044.      0.3618804E-04
  3374.662       5.308198       1.928989       4369125.      0.3622931E-04
  3375.571       5.310050       1.929164       4369735.      0.3618985E-04
  3376.480       5.311901       1.929339       4370344.      0.3615047E-04
  3377.388       5.313750       1.929514       4370951.      0.3611118E-04
  3380.772       5.323550       1.961187       4350040.      0.3613184E-04
  3381.441       5.322861       1.961526       4350336.      0.3611334E-04
  3382.929       5.327833       1.966320       4347998.      0.3606471E-04
  3383.830       5.329660       1.966496       4348591.      0.3602577E-04
  3385.366       5.334243       1.971074       4346477.      0.3597865E-04
  3386.266       5.336067       1.971251       4347066.      0.3593990E-04
  3387.165       5.337890       1.971427       4347654.      0.3590124E-04
  3388.552       5.342653       1.975746       4345550.      0.3585372E-04
  3389.449       5.344472       1.975922       4346135.      0.3581525E-04
  3390.879       5.348779       1.979954       4344304.      0.3576941E-04
  3391.774       5.350594       1.980131       4344885.      0.3573112E-04
  3442.820       5.740830       2.340599       3970611.      0.3449154E-04
  3443.628       5.742598       2.340955       3970999.      0.3445694E-04
  3446.146       5.759470       2.353547       3956895.      0.3437941E-04
  3446.950       5.761234       2.353909       3957274.      0.3434509E-04
  3447.648       5.761673       2.354327       3957531.      0.3432005E-04
  3449.346       5.771210       2.360931       3950402.      0.3426628E-04
  3450.146       5.772969       2.361297       3950775.      0.3423223E-04
  3451.407       5.778783       2.364987       3947226.      0.3418664E-04
  3452.206       5.780539       2.365354       3947596.      0.3415275E-04
  3453.161       5.783246       2.366813       3946977.      0.3411669E-04
  3453.958       5.785003       2.367180       3947345.      0.3408293E-04
  3454.841       5.787569       2.368340       3946928.      0.3404462E-04
  3455.637       5.789323       2.368707       3947295.      0.3401100E-04
  3456.432       5.791075       2.369075       3947660.      0.3397744E-04
  3457.379       5.793765       2.370501       3947076.      0.3394182E-04
  3458.172       5.795518       2.370869       3947440.      0.3390840E-04
  3459.088       5.797796       2.371941       3947239.      0.3387555E-04
  3459.880       5.799548       2.372308       3947601.      0.3384224E-04
  3460.741       5.801701       2.373143       3947559.      0.3380818E-04
  3461.533       5.803451       2.373511       3947919.      0.3377500E-04
  3462.462       5.805563       2.374490       3947860.      0.3374614E-04
  3463.252       5.807315       2.374858       3948219.      0.3371308E-04
  3463.495       5.805814       2.371491       3951867.      0.3368712E-04
  3464.285       5.807558       2.371858       3952226.      0.3365419E-04
  3465.073       5.809302       2.372224       3952584.      0.3362132E-04
  3465.862       5.811044       2.372591       3952941.      0.3358852E-04
  3466.649       5.812785       2.372958       3953298.      0.3355577E-04
  3467.436       5.814525       2.373325       3953654.      0.3352309E-04
  3468.223       5.816264       2.373692       3954009.      0.3349047E-04
  3469.538       5.821022       2.377507       3951338.      0.3345558E-04
  3470.323       5.822764       2.377874       3951691.      0.3342307E-04
  3471.108       5.824506       2.378242       3952043.      0.3339063E-04
  3471.892       5.826246       2.378609       3952394.      0.3335825E-04
  3472.675       5.827986       2.378976       3952745.      0.3332593E-04
  3474.252       5.830756       2.382021       3951799.      0.3332869E-04
  3475.034       5.832509       2.382389       3952147.      0.3329642E-04
  3476.047       5.834566       2.383479       3952148.      0.3327625E-04
  3476.828       5.836322       2.383847       3952494.      0.3324409E-04
  3477.853       5.838206       2.384830       3952662.      0.3322702E-04
  3478.633       5.839964       2.385199       3953008.      0.3319496E-04
  3478.770       5.841160       2.383684       3954065.      0.3313002E-04
  3479.549       5.842902       2.384052       3954409.      0.3309814E-04
  3480.327       5.844644       2.384420       3954753.      0.3306632E-04
  3481.105       5.846384       2.384788       3955096.      0.3303456E-04
  3481.883       5.848123       2.385156       3955438.      0.3300285E-04
  3482.659       5.849860       2.385523       3955780.      0.3297121E-04
  3483.435       5.851596       2.385891       3956121.      0.3293963E-04
  3485.201       5.854484       2.389046       3955362.      0.3296428E-04
  3485.976       5.856238       2.389415       3955700.      0.3293273E-04
  3486.751       5.857989       2.389784       3956038.      0.3290125E-04
  3487.525       5.859739       2.390153       3956375.      0.3286983E-04
  3488.299       5.861488       2.390522       3956712.      0.3283846E-04
