|6.6.6
epyro_2.tab                                                                                         
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3351.791       7.496753       3.779762       2677160.      0.1968920E-04
  3352.331       8.266074       4.834056       2677118.      0.1967142E-04
  3379.015       8.319173       4.857513       2698035.      0.2032616E-04
  3379.554       8.320918       4.858041       2698326.      0.2030460E-04
  3380.093       8.322662       4.858569       2698501.      0.2028319E-04
  3380.632       8.324407       4.859096       2698317.      0.2026188E-04
  3381.170       8.326147       4.859623       2698833.      0.2024016E-04
  3381.707       8.327888       4.860149       2698793.      0.2021891E-04
  3382.245       8.329628       4.860675       2698715.      0.2019755E-04
  3382.782       8.331365       4.861200       2699020.      0.2017641E-04
  3383.319       8.333101       4.861726       2699205.      0.2015476E-04
  3384.962       8.338456       4.864351       2700465.      0.2012887E-04
  3385.498       8.340188       4.864874       2700645.      0.2010806E-04
  3391.539       8.360332       4.875973       2706350.      0.2006605E-04
  3392.072       8.362054       4.876492       2706325.      0.2004507E-04
  3392.605       8.363772       4.877010       2706781.      0.2002458E-04
  3393.137       8.365490       4.877527       2706896.      0.2000411E-04
  3400.187       8.389134       4.890217       2713762.      0.1995852E-04
  3400.716       8.390837       4.890728       2714355.      0.1993809E-04
  3401.245       8.392544       4.891240       2714109.      0.1991798E-04
  3401.774       8.394245       4.891751       2714469.      0.1989748E-04
  3402.303       8.395948       4.892261       2714417.      0.1987721E-04
  3402.831       8.397649       4.892771       2714381.      0.1985701E-04
  3403.359       8.399347       4.893281       2714694.      0.1983696E-04
  3403.886       8.401046       4.893790       2714738.      0.1981685E-04
  3404.414       8.402744       4.894299       2714734.      0.1979705E-04
  3404.940       8.404438       4.894808       2715023.      0.1977691E-04
  3405.467       8.406133       4.895316       2714990.      0.1975687E-04
  3405.993       8.407827       4.895824       2715041.      0.1973682E-04
  3406.519       8.409519       4.896331       2715186.      0.1971715E-04
  3407.045       8.411209       4.896838       2715419.      0.1969710E-04
  3407.571       8.412899       4.897345       2715340.      0.1967741E-04
  3408.096       8.414586       4.897851       2715703.      0.1965750E-04
  3408.621       8.416274       4.898357       2715678.      0.1963795E-04
  3409.145       8.417961       4.898862       2715603.      0.1961844E-04
  3420.291       8.454572       4.919132       2727337.      0.1957214E-04
  3420.811       8.456239       4.919629       2727320.      0.1955280E-04
  3421.331       8.457905       4.920125       2727433.      0.1953392E-04
  3421.850       8.459569       4.920621       2727669.      0.1951470E-04
  3422.370       8.461232       4.921116       2727814.      0.1949548E-04
  3422.889       8.462895       4.921611       2727859.      0.1947660E-04
  3423.407       8.464556       4.922106       2728011.      0.1945757E-04
  3423.926       8.466216       4.922600       2728018.      0.1943858E-04
  3424.444       8.467876       4.923094       2728082.      0.1941975E-04
  3424.962       8.469533       4.923588       2728267.      0.1940113E-04
  3425.479       8.471188       4.924081       2728458.      0.1938204E-04
  3430.872       8.488476       4.932524       2733954.      0.1934998E-04
  3431.387       8.490124       4.933013       2733877.      0.1933175E-04
  3431.902       8.491769       4.933501       2734026.      0.1931313E-04
  3432.417       8.493414       4.933990       2734060.      0.1929464E-04
  3432.931       8.495055       4.934477       2734470.      0.1927621E-04
  3433.445       8.496699       4.934965       2734290.      0.1925764E-04
  3433.959       8.498340       4.935452       2734354.      0.1923948E-04
  3434.472       8.499979       4.935939       2734481.      0.1922088E-04
  3434.985       8.501618       4.936425       2734712.      0.1920280E-04
  3435.498       8.503255       4.936912       2734797.      0.1918453E-04
  3436.011       8.504892       4.937397       2734836.      0.1916611E-04
  3436.523       8.506527       4.937883       2734997.      0.1914791E-04
  3437.035       8.508161       4.938368       2735164.      0.1912979E-04
  3437.547       8.509794       4.938852       2735145.      0.1911155E-04
  3438.058       8.511428       4.939337       2735045.      0.1909324E-04
  3438.569       8.513058       4.939821       2735365.      0.1907556E-04
  3439.080       8.514687       4.940304       2735465.      0.1905726E-04
  3439.590       8.516316       4.940788       2735484.      0.1903932E-04
  3443.415       8.527862       4.945456       2739764.      0.1901384E-04
  3443.924       8.529484       4.945936       2739655.      0.1899602E-04
  3444.432       8.531105       4.946416       2739652.      0.1897802E-04
  3444.940       8.532723       4.946896       2740039.      0.1896063E-04
  3445.448       8.534342       4.947375       2739930.      0.1894297E-04
  3445.956       8.535957       4.947854       2740230.      0.1892509E-04
  3446.463       8.537574       4.948333       2740235.      0.1890738E-04
  3446.970       8.539189       4.948811       2740245.      0.1888957E-04
  3447.477       8.540802       4.949289       2740358.      0.1887206E-04
  3447.984       8.542415       4.949767       2740542.      0.1885459E-04
  3448.490       8.544028       4.950244       2740369.      0.1883722E-04
  3448.996       8.545636       4.950721       2740782.      0.1881978E-04
  3449.501       8.547246       4.951198       2740849.      0.1880229E-04
  3450.007       8.548854       4.951674       2740941.      0.1878485E-04
  3450.512       8.550462       4.952150       2740917.      0.1876754E-04
  3451.017       8.552067       4.952626       2741185.      0.1875012E-04
  3451.521       8.553673       4.953101       2741207.      0.1873272E-04
  3452.025       8.555276       4.953576       2741326.      0.1871544E-04
  3455.286       8.564175       4.955968       2744911.      0.1869327E-04
  3455.789       8.565773       4.956441       2745021.      0.1867631E-04
  3456.291       8.567369       4.956913       2744998.      0.1865934E-04
  3456.794       8.568964       4.957385       2745221.      0.1864225E-04
  3457.295       8.570557       4.957857       2745414.      0.1862508E-04
  3457.797       8.572151       4.958329       2745306.      0.1860819E-04
  3458.298       8.573743       4.958800       2745514.      0.1859123E-04
  3458.799       8.575335       4.959270       2745416.      0.1857406E-04
  3459.300       8.576924       4.959741       2745744.      0.1855757E-04
  3459.801       8.578512       4.960211       2745765.      0.1854037E-04
  3460.301       8.580100       4.960681       2745917.      0.1852365E-04
  3460.801       8.581686       4.961150       2746176.      0.1850696E-04
  3461.300       8.583274       4.961619       2746055.      0.1848996E-04
  3461.800       8.584858       4.962088       2746184.      0.1847345E-04
  3462.299       8.586442       4.962556       2746243.      0.1845632E-04
  3462.798       8.588024       4.963025       2746431.      0.1843985E-04
  3463.297       8.589607       4.963492       2746380.      0.1842324E-04
  3463.795       8.591186       4.963960       2746844.      0.1840680E-04
  3467.142       8.599113       4.964518       2750388.      0.1838754E-04
  3467.639       8.600686       4.964983       2750558.      0.1837125E-04
  3468.136       8.602259       4.965449       2750555.      0.1835479E-04
  3468.632       8.603828       4.965914       2750842.      0.1833811E-04
  3469.128       8.605400       4.966378       2750753.      0.1832187E-04
  3469.623       8.606968       4.966843       2751143.      0.1830561E-04
  3470.119       8.608537       4.967307       2751035.      0.1828913E-04
  3470.614       8.610104       4.967770       2751128.      0.1827285E-04
  3471.109       8.611671       4.968234       2751172.      0.1825684E-04
  3471.603       8.613237       4.968697       2751219.      0.1824065E-04
  3472.098       8.614800       4.969160       2751513.      0.1822435E-04
  3472.592       8.616364       4.969622       2751497.      0.1820813E-04
  3473.085       8.617926       4.970084       2751779.      0.1819207E-04
  3473.579       8.619488       4.970546       2751800.      0.1817612E-04
  3474.072       8.621049       4.971007       2751781.      0.1815981E-04
  3474.565       8.622607       4.971468       2752092.      0.1814377E-04
  3475.058       8.624165       4.971929       2752238.      0.1812782E-04
  3475.551       8.625725       4.972390       2751995.      0.1811186E-04
  3479.997       8.634964       4.971241       2757483.      0.1809692E-04
  3480.488       8.636508       4.971700       2758197.      0.1808114E-04
  3480.978       8.638056       4.972158       2758178.      0.1806528E-04
  3481.468       8.639601       4.972616       2758270.      0.1804960E-04
  3481.957       8.641147       4.973074       2758129.      0.1803386E-04
  3482.447       8.642690       4.973531       2758343.      0.1801819E-04
  3482.936       8.644235       4.973988       2758113.      0.1800261E-04
  3483.425       8.645774       4.974445       2758616.      0.1798676E-04
  3490.243       8.658445       4.969813       2767907.      0.1796420E-04
  3490.729       8.659971       4.970267       2768222.      0.1794872E-04
  3491.214       8.661497       4.970721       2768153.      0.1793334E-04
  3491.699       8.663022       4.971175       2768250.      0.1791794E-04
  3492.184       8.664547       4.971629       2768313.      0.1790293E-04
  3492.669       8.666069       4.972082       2768470.      0.1788768E-04
  3493.153       8.667593       4.972535       2768358.      0.1787237E-04
  3493.638       8.669113       4.972988       2768780.      0.1785733E-04
  3494.122       8.670634       4.973440       2768650.      0.1784204E-04
  3494.605       8.672153       4.973892       2768927.      0.1782681E-04
  3495.089       8.673672       4.974344       2768935.      0.1781177E-04
  3495.572       8.675189       4.974795       2769076.      0.1779666E-04
  3496.055       8.676706       4.975246       2769122.      0.1778170E-04
  3496.538       8.678222       4.975697       2769272.      0.1776668E-04
  3497.020       8.679738       4.976148       2769170.      0.1775131E-04
  3497.502       8.681252       4.976598       2769399.      0.1773672E-04
  3497.984       8.682764       4.977048       2769536.      0.1772146E-04
  3498.466       8.684276       4.977498       2769719.      0.1770669E-04
  3503.885       8.694037       4.974323       2777024.      0.1770234E-04
  3504.364       8.695537       4.974770       2777120.      0.1768767E-04
  3504.843       8.697037       4.975218       2776881.      0.1767314E-04
  3505.322       8.698535       4.975665       2777242.      0.1765859E-04
  3505.801       8.700033       4.976112       2777073.      0.1764382E-04
  3507.483       8.703865       4.975718       2779240.      0.1762619E-04
  3351.093       7.494297       3.778355       2747151.      0.2022623E-04
  3351.634       8.262880       4.831718       2747327.      0.2020793E-04
  3378.291       8.315630       4.855142       2768808.      0.2088333E-04
  3378.831       8.317378       4.855671       2769161.      0.2086149E-04
  3379.370       8.319125       4.856199       2769102.      0.2083935E-04
  3379.909       8.320872       4.856728       2769161.      0.2081730E-04
  3380.454       8.322780       4.857332       2769433.      0.2079551E-04
  3380.992       8.324522       4.857859       2769582.      0.2077347E-04
  3381.549       8.325927       4.858212       2769657.      0.2075328E-04
  3382.087       8.327667       4.858739       2769880.      0.2073161E-04
  3382.624       8.329407       4.859265       2769947.      0.2070998E-04
  3383.151       8.331573       4.860003       2770104.      0.2068682E-04
  3383.688       8.333309       4.860528       2770221.      0.2066519E-04
  3384.927       8.336947       4.862177       2771184.      0.2064239E-04
  3385.463       8.338680       4.862701       2771374.      0.2062065E-04
  3391.912       8.360107       4.874554       2778071.      0.2057643E-04
  3392.445       8.361830       4.875073       2777942.      0.2055516E-04
  3392.028       8.360543       4.873770       2776861.      0.2053753E-04
  3392.560       8.362261       4.874288       2777209.      0.2051613E-04
  3400.555       8.388905       4.888789       2785748.      0.2046718E-04
  3401.084       8.390612       4.889301       2785620.      0.2044637E-04
