|6.6.6
pyro_1.tab                                                                                          
           2
P(bar)  
   1.0000000000000000     
   201.33557046979865     
         150
T(K)    
   273.00000000000000     
   10.050251256281408     
         200
           5
rho,kg/m3      vp,km/s        vs,km/s        cp,J/K/m3      alpha,1/K     
  3323.608       7.384856       3.692809       2670093.      0.1964848E-04
  3324.166       8.168844       4.771620       2670282.      0.1963084E-04
  3358.631       8.232524       4.799713       2697648.      0.2050345E-04
  3359.182       8.234344       4.800257       2697686.      0.2048085E-04
  3359.732       8.236160       4.800800       2698011.      0.2045826E-04
  3360.282       8.237976       4.801343       2698117.      0.2043556E-04
  3360.832       8.239789       4.801885       2698235.      0.2041281E-04
  3361.381       8.241603       4.802427       2698298.      0.2039066E-04
  3371.856       8.278742       4.825422       2703326.      0.2030769E-04
  3372.398       8.280536       4.825949       2703647.      0.2028545E-04
  3372.940       8.282328       4.826476       2703851.      0.2026330E-04
  3374.980       8.289188       4.829899       2705350.      0.2023566E-04
  3375.520       8.290975       4.830424       2705745.      0.2021362E-04
  3381.930       8.312431       4.842192       2711798.      0.2017005E-04
  3382.468       8.314208       4.842712       2711936.      0.2014838E-04
  3383.006       8.315984       4.843231       2712035.      0.2012676E-04
  3383.543       8.317756       4.843750       2712193.      0.2010520E-04
  3391.158       8.343546       4.857525       2720088.      0.2005940E-04
  3391.692       8.345306       4.858037       2720163.      0.2003831E-04
  3392.225       8.347064       4.858549       2720134.      0.2001700E-04
  3392.759       8.348821       4.859061       2720392.      0.1999574E-04
  3393.292       8.350577       4.859572       2720283.      0.1997464E-04
  3393.824       8.352331       4.860083       2720519.      0.1995366E-04
  3394.357       8.354085       4.860594       2720546.      0.1993286E-04
  3394.889       8.355836       4.861104       2720658.      0.1991156E-04
  3395.420       8.357586       4.861613       2720823.      0.1989105E-04
  3395.952       8.359334       4.862123       2720980.      0.1987023E-04
  3396.483       8.361083       4.862632       2720974.      0.1984950E-04
  3397.013       8.362829       4.863140       2721146.      0.1982845E-04
  3397.544       8.364574       4.863648       2721248.      0.1980773E-04
  3398.074       8.366316       4.864156       2721508.      0.1978725E-04
  3398.603       8.368058       4.864663       2721752.      0.1976658E-04
  3399.133       8.369799       4.865170       2721797.      0.1974599E-04
