density (g/cm3)	a(Gpa)	dl/dP	c(Gpa)	k (Gpa-1)
3.07	32.22	3.32	22.69	13.07
3.00	49.44	3.81	6.98	14.51
2.74	34.27	4.32	18.93	11.19
2.66	29.03	0.80	26.57	9.93
2.65	29.71	3.04	35.45	20.63
3.50	74.79	5.25	12.91	10.65
3.59	86.67	8.84	50.94	14.54
3.56	90.46	7.75	20.79	8.36
3.16	71.89	5.11	24.07	19.41
2.63	31.38	1.41	65.20	36.74
2.63	39.31	0.00	24.42	3.81
3.37	81.05	1.05	20.08	6.15
2.66	30.87	3.27	15.20	16.12
2.64	31.82	5.28	12.87	21.33
3.17	67.09	5.83	74.65	28.92
3.21	83.41	5.31	29.64	8.88
2.66	39.52	2.81	12.36	28.81
2.65	36.89	2.99	12.11	12.10
3.12	64.92	1.28	41.98	10.17
2.86	41.15	1.62	21.35	24.74
3.00	50.13	3.61	16.21	21.99
2.96	51.07	7.18	16.96	15.40
3.25	63.20	4.72	24.35	16.00
3.43	80.26	0.00	45.19	12.70
3.38	76.63	9.66	75.09	24.63
2.66	40.03	3.66	14.48	23.07
2.60	41.99	6.73	7.67	21.43
